stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,197.67,3782.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0
  5-6,85.81,1029.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,34.17,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,0,0,0,15.77,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,22.03,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,3.15,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,7,0,2,0,0,0,0,0,0,0,0,1,8,0,0,9,13,1,0,1,1,0,0,0,2,0,4,5,0,4,0,0
 24-34,0,0,0,2.46,0,0,0.82,0,0.82,0,1.64,0,0,0,0.82,0,49.25,0,0,11.49,20.52,0,0,0,0,0,0,0,0,1.64,0.82,5.75,0,8.21,0,0
 36-46,0,0,0,2.42,0.81,0,1.61,0,1.61,0,0,0.81,0,0.81,0.81,0.81,54.79,0,0,12.09,22.56,0,0,0,0,0,0,0,0.81,3.22,0,5.64,0,2.42,0,0
 48-58,0,0,0,1.15,1.15,0,2.3,3.44,1.15,0.57,0,0.57,0,0,1.72,0.57,57.38,0,0,3.44,8.61,0,0,0.57,0,0,0,0,0,0,0,1.72,0,5.74,0,0
 60-70,0,0,0,1.96,2.94,0,2.94,2.94,0.98,1.96,1.96,0.98,0.98,0,0.98,0,86.37,0,0,2.94,12.76,0.98,0,0,0,0,0.98,0,0,0.98,0,0.98,1.96,6.87,0,0
 72-82,0,0,0,1.96,14.72,0,5.89,3.93,0,0,0.98,2.94,0,0,2.94,0,96.2,0,0,8.83,19.63,0,0,0.98,0,0.98,0.98,0,0,0.98,0,1.96,0.98,16.69,0.98,0
 84-94,0,0,0,0,19.12,0,5.31,4.25,1.06,2.12,1.06,1.06,1.06,0,2.12,2.12,56.29,0,0,3.19,4.25,0,0,0,0,0,0,0,0,1.06,0,0,0,14.87,2.12,0
 96-106,0,0,0,2.19,7.65,0,3.28,2.19,1.09,2.19,2.19,1.09,0,0,2.19,0,64.48,0,1.09,5.46,8.74,0,0,0,0,2.19,1.09,0,0,2.19,0,0,1.09,7.65,0,1.09
108-118,0,0,0,3.06,8.43,3.83,2.3,3.83,3.06,0,1.53,2.3,0,0,2.3,0.77,50.55,0.77,0,4.6,10.72,0.77,0.77,0.77,0,0.77,0,0,0,0.77,0,0,0.77,9.96,0,0
120,0,0,0,3.92,17.64,0,5.88,1.96,5.88,0,0,1.96,0,0,1.96,0,78.39,0,0,9.8,13.72,0,1.96,0,0,0,0,0,0,0,0,0,0,7.84,0,0
