stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,39.53,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,98.07,1072.69,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,30.65,6.13,0,0,42.91,18.39,0,0,0,0,0
  7-9,18.4,5.26,0,15.77,0,0,42.06,0,0,0,0,21.03,0,0,0,0,0,0,0,0,386.42,10.51,0,0,81.49,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,22.03,0,0,0,0,6.29,0,0,0,0,0,0,0,0,144.76,3.15,0,0,37.76,3.15,0,0,0,0,0
 14-21,0,0,1,0,12,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0,12,1,0,1,2,2,6,1,5,9,1
 24-34,0,0,0,0,0.82,0,3.28,0,0,0,0,0,0,0.82,0,0,0,0.82,4.1,0.82,14.78,0,0.82,0,0,6.57,0,0,1.64,4.93,1.64
 36-46,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,10.47,0,0,0,0,0,0,0,0,0.81,1.61
 48-58,0,0,0,0,0,0,8.03,0,0.57,0.57,0,0,0.57,0,0,0.57,0,0,2.3,0.57,6.89,0,0.57,0,0,1.15,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,2.94,2.94,3.93,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,4.91,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0.98,0,3.93,0.98,0.98,0.98,0,0,0,0,0,0,1.96
 84-94,0,0,0,0,0,0,8.5,0,0,0,0,0,0,1.06,1.06,0,0,0,3.19,1.06,6.37,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0,3.28,0,0,0,0,1.09,1.09,0,0,0,1.09,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0,0,0,2.3,0.77,0,1.53,0,0,0,2.3,0,0,0,0,0,0,3.06,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,1.96,0,1.96,0,0,1.96,3.92,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,0,1.96
