stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,751.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0
  5-6,30.65,337.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,18,2,1,0,1,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0,17,1,2,0,1,0,17,2,1,15,0,0,0,0,0
 24-34,0,0,0.82,0.82,5.75,0,3.28,0,0.82,0,0,0,0,0,4.1,5.75,0,0,0,0,0.82,0,0.82,0.82,41.86,0,0.82,0.82,0,0,39.4,6.57,0,11.49,0,0,3.28,0,0
 36-46,0,0,0,0,0.81,0,10.47,0,0,0,4.03,0,0,0.81,2.42,0.81,0,1.61,0.81,0.81,3.22,0.81,0,0.81,45.12,0,5.64,0,0,0,32.23,2.42,0,10.47,0,0,1.61,0,0
 48-58,0,0,0,0,2.3,0,10.9,0,0.57,0,0.57,0.57,0,0,0.57,1.72,0,1.15,0,0,5.74,0.57,0.57,0,44.76,0,2.3,0.57,0,0,14.35,1.72,0,8.03,0,0.57,1.15,0,0
 60-70,0,0,0,0,1.96,0.98,25.52,0,1.96,0,4.91,0,0,0,5.89,0,1.96,2.94,0,0,2.94,0,0.98,0,71.65,0,4.91,0,0,0,15.7,0,0,6.87,0,0,0,0,0
 72-82,0,0,3.93,0,4.91,1.96,32.39,0,1.96,0,0,1.96,0,0,7.85,3.93,3.93,0,0,0,6.87,1.96,0,0.98,62.83,0,0.98,0.98,0,0.98,8.83,0,0,7.85,0.98,0.98,4.91,0,0
 84-94,0,0,1.06,0,11.68,4.25,23.36,0,2.12,0,7.43,7.43,0,0,13.81,2.12,1.06,3.19,1.06,1.06,6.37,0,3.19,0,37.17,0,2.12,1.06,0,0,44.61,3.19,0,0,1.06,0,0,1.06,1.06
 96-106,0,0,1.09,0,19.67,4.37,21.86,0,2.19,0,3.28,4.37,0,0,12.02,4.37,0,1.09,0,0,4.37,2.19,1.09,1.09,32.79,0,5.46,4.37,0,0,26.23,1.09,0,3.28,1.09,0,1.09,1.09,1.09
108-118,0,0,0.77,0,11.49,0.77,16.09,0,2.3,0.77,4.6,4.6,0,0,9.19,5.36,3.06,0,0.77,0,2.3,1.53,0,1.53,32.17,0,2.3,2.3,0,0,28.34,1.53,0,4.6,0.77,0,0.77,0.77,1.53
120,0,0,0,0,9.8,3.92,11.76,3.92,3.92,0,11.76,5.88,0,0,17.64,1.96,3.92,0,0,1.96,0,0,0,0,35.28,0,7.84,0,0,0,21.56,1.96,0,0,0,0,0,1.96,0
