stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,1.64,0,1.64,0.82,0,0,0,0,0,2.46,0,0.82,72.24,0,4.93,0,0,0,0,0,45.15,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,1.61,2.42,0,0,107.15,0,0,0,0,0,0,0,45.92,0,0,1.61,0
 48-58,0,0,0.57,1.72,0,0,22.95,0,4.59,0,0,0,0,0.57,1.15,2.87,0,1.15,173.86,1.15,3.44,0,0,0,0,0.57,40.74,0,0,0,0
 60-70,0,0,0,0,0,0,83.43,0,5.89,0,0,0,0,0,0,5.89,0.98,0.98,186.49,0,2.94,0,0,0,0,0,20.61,0,0,0,0
 72-82,0,2.94,0,2.94,0,0,104.06,0,7.85,0,0,0,0.98,0,0,4.91,0,0.98,203.2,0,1.96,0,0,0.98,0.98,0,17.67,0.98,0.98,0,0
 84-94,0,5.31,1.06,0,0,0,74.34,1.06,9.56,0,0,0,0,0,0,7.43,1.06,0,107.27,0,2.12,0,1.06,1.06,1.06,0,9.56,1.06,0,1.06,0
 96-106,0,0,0,1.09,0,0,49.18,0,9.84,0,0,0,0,0,0,5.46,0,0,111.47,0,6.56,0,0,0,0,0,4.37,0,0,0,1.09
108-118,0,1.53,0,4.6,0,0.77,48.26,0,9.96,0,0.77,0.77,0,0,0,6.13,0,1.53,123.32,0,4.6,0,0,0,1.53,0,3.06,0,0,0,0
120,0,0,0,0,0,0,50.95,0,9.8,0,0,0,0,0,0,1.96,0,0,97.99,0,1.96,0,0,1.96,0,0,1.96,0,0,1.96,0
