stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,8,0,0,0,1,0,8,1,0,0,1,22,1,14
 24-34,0,0,0,0.82,0,0,58.28,0.82,0.82,0.82,1.64,1.64,22.16,0,0,0.82,0.82,23.8,0,92.76
 36-46,0,0,0,0.81,2.42,0,47.53,0,0,0,4.83,0,26.59,0,2.42,0,0,33.84,0,91.04
 48-58,0,0,0,0,6.31,1.15,12.62,0,0,0,0,0,11.48,0,1.15,0,0,12.62,0,11.48
 60-70,0,0,0,1.96,1.96,0,6.87,0,0,0,0.98,0,4.91,0,0,0,0,0.98,0,5.89
 72-82,0,0,0,0,4.91,0,4.91,0,0,0,0,0,2.94,0,0,0.98,0,0,0,0
 84-94,0,0,0,1.06,1.06,1.06,2.12,0,0,0,0,0,2.12,0,0,0,0,0,0,2.12
 96-106,0,0,0,0,5.46,2.19,1.09,0,0,0,1.09,1.09,2.19,0,0,0,0,1.09,0,1.09
108-118,0,0,0,0,4.6,0,3.06,0,0,0,1.53,0,3.83,0,0.77,0,0,0,0,3.06
120,0,0,0,0,1.96,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0
