stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,5.26,0,0,7.89,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,9.44,0,0,22.03,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7,20,2,0,1,0,0,0,1,2,0,0,0,0,0,1,0,5,0,0,5,30,2,1,0,1,0,45,5,2,1,4,15,0,0,4,0,0
 24-34,0,1.64,1.64,34.48,0.82,0,4.1,0,0.82,0.82,1.64,0,2.46,1.64,2.46,0,0,3.28,0,8.21,0.82,0,8.21,27.09,0,0,0,0,0,234.76,0,1.64,0,0.82,6.57,0,0,27.91,0,0
 36-46,0,0,0.81,27.39,0,0,2.42,0,3.22,0,2.42,0,4.03,0,0,0.81,0.81,0,0,16.92,0.81,0.81,1.61,29,0,0.81,0,0,0,186.11,0,1.61,0,0,8.86,0,0,22.56,0,0.81
 48-58,0,0,0,22.38,0.57,0,6.31,0,4.02,1.15,0.57,0.57,3.44,1.15,0,0,3.44,0,0.57,17.79,1.15,0.57,4.59,16.64,0,0.57,0,0,0,153.78,0,0.57,0,0,4.59,0,0.57,21.8,0,0.57
 60-70,0,0,0,38.28,0,0,1.96,0.98,7.85,0,0.98,3.93,2.94,0.98,0.98,0,3.93,0.98,0,35.33,3.93,1.96,0.98,22.58,0,0,2.94,0,0,185.51,0,0,0,0,2.94,0,0.98,22.58,0,0
 72-82,0,1.96,1.96,69.7,0.98,0,10.8,0.98,6.87,2.94,6.87,11.78,1.96,1.96,4.91,0,8.83,2.94,0.98,82.46,0,1.96,1.96,14.72,0,2.94,0.98,0,0,241.49,0,0,0,0,1.96,0.98,2.94,48.1,3.93,0.98
 84-94,0,2.12,1.06,133.82,1.06,0,9.56,0,18.05,2.12,6.37,19.12,4.25,7.43,18.05,1.06,5.31,4.25,1.06,43.54,5.31,7.43,0,18.05,0,1.06,1.06,0,0,529.96,0,1.06,0,0,1.06,5.31,2.12,40.36,1.06,1.06
 96-106,0,3.28,0,136.61,2.19,0,13.11,0,10.93,1.09,10.93,28.41,5.46,7.65,18.58,2.19,8.74,7.65,0,54.64,8.74,3.28,3.28,28.41,0,1.09,2.19,0,2.19,439.32,0,2.19,0,0,0,7.65,2.19,61.2,4.37,1.09
108-118,0,1.53,0.77,108,0,2.3,8.43,0,25.28,1.53,6.13,35.23,2.3,4.6,14.55,0,8.43,4.6,0.77,59.75,5.36,4.6,2.3,9.19,0.77,1.53,3.83,0,1.53,299.49,0,0.77,0,0,0.77,21.45,0.77,29.87,2.3,4.6
120,0,1.96,0,90.15,0,0,7.84,0,21.56,0,3.92,47.03,0,5.88,5.88,0,1.96,0,0,35.28,5.88,3.92,1.96,9.8,0,0,0,0,0,221.46,0,3.92,0,0,0,1.96,1.96,31.36,0,0
