stage,blastomeres,epidermis,eye,glial,ionocyte,mesenchyme,muscle,neural,periderm,pronephros,spinal.cord,taste
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0.82,8.21,0,0
 36-46,0,0,0.81,0,0,0,0,0.81,0,2.42,0,0
 48-58,0,0,0.57,0,0,0,0,1.72,0,0.57,0,0
 60-70,0,0,1.96,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,0.98,0,0.98,0.98,0,0.98,0,0,0
 84-94,0,0,3.19,0,0,1.06,0,1.06,2.12,1.06,0,0
 96-106,0,3.28,0,0,1.09,2.19,1.09,0,3.28,1.09,1.09,0
108-118,0,3.06,0.77,0,1.53,0,0,0,9.96,1.53,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,1.96
