stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,7.39,0.82,0,0,0,1.64,0,0,0.82,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0.81,25.78,0,0,0,0,0.81,0,0,0,0,0.81
 48-58,0,2.87,0,0,0,1.15,0.57,0,0,0,0,0,0,0,2.87,0,1.15,26.97,0,0,0,1.72,1.72,0,0,0.57,0,0
 60-70,0,3.93,0,4.91,0,0,0,0,0.98,0,0.98,0,0,0,1.96,0,0,22.58,0,0,0,1.96,0.98,0,0,0,0.98,0
 72-82,0,1.96,0,5.89,0,0.98,0,0,0,0,4.91,0,0,0,3.93,0,0.98,21.6,0,0,0,0,0.98,0,0.98,0.98,0,0
 84-94,0,7.43,0,3.19,1.06,0,0,2.12,0,1.06,4.25,1.06,0,1.06,1.06,1.06,0,32.92,0,0,0,1.06,1.06,0,0,2.12,0,0
 96-106,0,10.93,0,5.46,0,0,1.09,4.37,0,0,13.11,0,0,0,3.28,0,0,20.76,0,1.09,0,6.56,0,0,0,1.09,0,0
108-118,0,3.83,0,3.06,0,0,0.77,29.11,0,0,9.19,0,0.77,0,3.06,0.77,0,15.32,0,0,0,3.83,0,0,0,0.77,0,0
120,0,9.8,1.96,0,0,0,0,15.68,0,0,5.88,0,0,1.96,3.92,0,0,17.64,0,0,0,1.96,0,1.96,0,1.96,0,0
