stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,heart,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,1.64,17.24,0.82,0,0,1.64,0,4.1,0,0
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,46.73,0.81,0,0,2.42,0,8.06,0,0
 48-58,0,0.57,0.57,0,1.72,1.15,0,0,0,0,0,50.49,0.57,0,0,0,0,12.05,0,0
 60-70,0,0,0,0,13.74,0.98,0,0,0,0.98,0,114.84,0,0,0,0,0,12.76,0,0
 72-82,0,0,1.96,0,38.28,0.98,0.98,0,0,7.85,0,174.74,0,0,0,0.98,0,14.72,0.98,0
 84-94,0,0,1.06,0,28.68,6.37,0,0,0,2.12,0,100.89,0,0,0,1.06,0,4.25,0,0
 96-106,0,0,1.09,0,26.23,3.28,0,1.09,0,3.28,1.09,109.28,0,0,0,1.09,0,8.74,0,1.09
108-118,0,0.77,1.53,0,16.85,3.06,0,0,0.77,1.53,0,117.19,0.77,0,0,0,0.77,2.3,0,0
120,0,0,1.96,1.96,19.6,5.88,0,0,0,1.96,1.96,119.55,0,1.96,0,3.92,0,3.92,0,0
