stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,14,4,0,43,0,0,0,5,0,1,0,0,0,0,0,0,22,0,14,428,1,0,3,6,0,2,3,1,0,7,42,0,0,0,0,0
 24-34,0.82,2.46,22.16,0.82,0,45.15,0,1.64,0.82,9.03,0,5.75,0,0,0,3.28,0,0,91.12,0.82,29.55,717.43,4.93,0.82,9.85,0,0,0,0.82,0,5.75,2.46,80.44,0,0,1.64,0,2.46
 36-46,0,0,4.83,1.61,0,79.76,0,1.61,3.22,39.48,0,7.25,0,0,0,2.42,0,0,165.97,5.64,53.98,1065.09,2.42,1.61,7.25,0,0,3.22,0,0.81,1.61,0,182.08,0,0,2.42,0,3.22
 48-58,0,0,4.59,0,0,138.29,0,1.15,7.46,54.51,0,9.18,0,0,0,1.72,0,0,259.36,10.9,50.49,744.8,0.57,0.57,8.03,0,1.72,0,0,0,0.57,0,161.24,0,1.72,1.72,1.15,4.59
 60-70,0,1.96,5.89,0,0,313.11,0,3.93,8.83,113.86,0,2.94,0.98,0.98,0,0,0,0,384.76,17.67,37.3,989.37,0,0.98,12.76,0,1.96,1.96,0,0.98,1.96,0,155.08,0,9.82,3.93,1.96,2.94
 72-82,0,1.96,7.85,0,0,205.17,0.98,0.98,12.76,144.3,1.96,4.91,0,0,2.94,0.98,0.98,0,388.74,24.54,29.45,752.93,0,0,15.71,0,0.98,1.96,0,0.98,0.98,0,72.64,1.96,18.65,8.83,11.78,2.94
 84-94,0,0,19.12,1.06,0,227.28,3.19,3.19,9.56,125.32,2.12,10.62,1.06,1.06,7.43,4.25,0,3.19,298.43,18.05,24.43,503.41,0,8.5,28.68,0,2.12,4.25,0,0,0,0,58.41,7.43,10.62,16.99,20.18,11.68
 96-106,0,1.09,14.21,0,1.09,144.26,3.28,2.19,4.37,100.54,2.19,8.74,1.09,0,6.56,3.28,0,2.19,250.26,15.3,24.04,408.72,2.19,15.3,40.44,0,1.09,3.28,0,2.19,0,0,21.86,8.74,12.02,9.84,31.69,13.11
108-118,0,0.77,6.13,1.53,0,158.55,1.53,2.3,5.36,91.15,0.77,2.3,0.77,0.77,21.45,2.3,0,3.06,192.26,14.55,27.57,438.13,0.77,3.06,36.77,0,3.06,1.53,0,3.83,0,0,22.21,9.19,3.06,9.96,16.85,12.26
120,0,0,9.8,0,0,119.55,0,7.84,3.92,76.43,3.92,0,3.92,0,5.88,1.96,1.96,0,158.74,7.84,15.68,427.23,0,3.92,21.56,0,1.96,3.92,0,0,1.96,0,23.52,0,1.96,1.96,29.4,7.84
