stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,mucous,neural,periderm,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,0,2,0
 24-34,1.64,0.82,0,0,0,0,0,0.82,0,3.28,0.82,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,4.83,0.81,0
 48-58,0.57,1.72,0,0.57,0,0,0.57,0,0,3.44,2.3,0
 60-70,0.98,0.98,0.98,0,0,0,0,0.98,0.98,1.96,1.96,0
 72-82,0.98,0.98,0,0,0,0,0,0,0.98,1.96,8.83,0
 84-94,0,2.12,1.06,0,0,0,0,0,0,0,3.19,0
 96-106,1.09,0,0,0,0,0,0,0,1.09,0,6.56,0
108-118,2.3,0.77,0,0,0,0.77,0,0,0,0,4.6,0
120,0,0,0,0,0,0,0,0,0,1.96,5.88,0
