stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,843.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,435.2,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,10.51,5.26,0,0,0,18.4,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,128.81,5.26,0,0,52.57,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,0,15.73,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,3.15,166.79,12.59,0,0,72.38,0,3.15,3.15,0,15.73,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0
 24-34,0,0,0,1.64,0,0,2.46,0,0,0,1.64,0,0,0.82,0,0.82,0,0,0,0,5.75,0,0,0.82,27.91,0.82,0,0.82,0,0,2.46,0,0,0,0.82,1.64,4.93,0,0,0,0
 36-46,0,0,0,0.81,0,0,5.64,0.81,0,0,0.81,0,0,0,0.81,0,0,0,0,0,6.45,0.81,1.61,4.03,19.34,0,0.81,0,0,0,3.22,0,0,0,0,0,4.83,0,0,0,1.61
 48-58,0,0,0,0,0,0,12.62,0,0.57,0,3.44,0,0,0.57,0.57,0,0,0,0,0,6.31,0.57,0.57,1.72,21.23,0,0.57,0,0,0,0,0,0,0,0,0,7.46,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,0,9.82,0,0,0,3.93,0,0,0,0,0,0,0,0,0,7.85,0,0,1.96,12.76,0,0,0,0,0,1.96,0,0,0.98,0,0,1.96,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,6.87,0,0,0,1.96,0.98,0,0,1.96,0,1.96,0,0,0,17.67,0,0,0.98,6.87,1.96,0,0,0,0.98,2.94,0,0,0,0,0,0.98,0.98,0,0,0
 84-94,0,0,0,7.43,0,0,9.56,0,3.19,0,0,1.06,0,0,0,0,1.06,0,1.06,1.06,16.99,0,0,1.06,12.74,0,0,0,0,0,9.56,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,2.19,1.09,0,12.02,1.09,1.09,1.09,0,0,0,0,1.09,1.09,0,3.28,0,1.09,8.74,2.19,1.09,2.19,10.93,0,1.09,0,0,0,5.46,0,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,11.49,1.53,0.77,9.19,0,0.77,1.53,2.3,0.77,0,0,0.77,1.53,0,0.77,3.06,0.77,19.15,0,0.77,3.06,9.96,0.77,0,0,0,0,9.96,0,0,0,0.77,0,0,0,0.77,0.77,1.53
120,0,0,0,3.92,0,0,1.96,0,0,0,5.88,1.96,0,0,3.92,0,0,0,0,0,5.88,0,1.96,5.88,3.92,1.96,0,0,0,0,9.8,0,0,0,0,0,0,0,1.96,0,0
