stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,9.85,0,0,0,1.64,0,0,2.46,0,0,0,0
 36-46,0,0,0,1.61,0,0.81,0,0,0,0,0,0.81,2.42,0,0,14.5,0,0,0,1.61,0.81,0,3.22,0,0,0,0
 48-58,0,0,0,4.59,0.57,0.57,0,0,0,0,0,0,2.3,0,0.57,9.75,0,0.57,0,1.15,0,0,1.15,0,0,0.57,0.57
 60-70,0,0,0,0.98,0.98,1.96,0,0,0,0,0,0,2.94,0,0,10.8,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0.98,0,2.94,0,0,0,0,0.98,0,0.98,0,0,6.87,0,0,0,0.98,0,0,0,0,0.98,0.98,0
 84-94,0,1.06,0,3.19,0,3.19,0,0,0,0,0,0,5.31,0,1.06,3.19,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,1.09,1.09,0,1.09,0,0,0,1.09,0,0,2.19,0,0,4.37,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0,1.53,0.77,0,0.77,0,0,0,2.3,0,0,3.83,0.77,0.77,0.77,0,0,0,0,0,0,0,0
120,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,0,1.96,0
