stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,olfactory,otic,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,14,0,0,0,0,0,0,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
 24-34,0,0,3.28,4.93,0,1.64,0,0,0,0,0,0,92.76,0,0.82,0,0.82,0,0,2.46,0,1.64,0.82,0,1.64,0,0,5.75,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0.81,99.9,0,0,0,0.81,0,0,2.42,0,0,0,0,3.22,0,0,1.61,0
 48-58,0,0,0.57,0,0,0.57,0,0,1.15,0,0,0,105.58,0,0,0,0.57,0,0,7.46,0,0.57,0,0,1.15,0,0,3.44,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,109.93,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,11.78,0
 72-82,0,0,0,0,0,0.98,0.98,0,0,0,0,0,200.26,0.98,0.98,0,2.94,0,0,6.87,0.98,0.98,0,0,0,1.96,0.98,29.45,0
 84-94,0,0,1.06,1.06,0,2.12,0,0,0,0,0,0,228.34,0,0,0,1.06,0,0,3.19,0,1.06,3.19,0,2.12,0,0,37.17,0
 96-106,0,0,5.46,4.37,0,3.28,0,1.09,1.09,0,0,1.09,306,1.09,3.28,1.09,5.46,1.09,1.09,8.74,0,0,3.28,1.09,0,0,0,50.27,1.09
108-118,0,0.77,3.83,2.3,0.77,1.53,0.77,0,0,0.77,0,0,216.77,0,0,0,0.77,0,0,7.66,0,0,1.53,0,0,0,0.77,37.53,0.77
120,0,0,5.88,0,0,5.88,0,1.96,1.96,1.96,0,0,268.49,1.96,1.96,0,5.88,0,1.96,5.88,0,0,0,0,0,0,0,23.52,1.96
