stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,197.67,3768.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.87,0,0,0,0,0,0,0,0
  5-6,91.94,533.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,2.63,0,21.03,7.89,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,12.59,0,15.73,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,37,0,0,0,0,0,0,0,2,2,0,0,19,0,0,1,0,0,2,0,0,11,1,0,0,1,0,157,0,4,1,0,0,0,0,0
 24-34,0,0,0,1.64,15.6,0,0,6.57,0,3.28,0,0,1.64,0.82,0,0.82,33.66,0,2.46,0,0,2.46,11.49,0,0.82,41.86,0,11.49,4.93,0,0,414.53,0,7.39,0,4.93,0,1.64,0,0
 36-46,0,0,0,0,6.45,0,0,4.03,0,3.22,0,2.42,0.81,0,0,0,12.89,0,0.81,0,0,1.61,4.83,0,0.81,43.51,0,4.83,0.81,0,0,315.02,0,0.81,0,8.86,0,0.81,0,0.81
 48-58,0,0,0,0,6.89,0,0,7.46,0,5.74,0,1.15,1.15,0.57,0.57,0.57,6.89,0.57,3.44,1.72,0,4.02,10.33,0.57,0.57,26.4,0.57,6.89,1.72,0,0,239.28,0,1.72,0,6.89,0,0,0,1.15
 60-70,0,0,0,0,14.72,0,0,6.87,0,3.93,0,0.98,4.91,0,0.98,0,4.91,0,5.89,0,0,2.94,7.85,0.98,0,17.67,0,4.91,5.89,0,0,196.3,0,0.98,0,7.85,0.98,0,0,0
 72-82,0,0,1.96,0.98,35.34,0.98,0,7.85,0,4.91,0,5.89,16.69,0.98,0,1.96,18.65,0,7.85,0.98,0,6.87,14.72,0,0,21.6,0,7.85,9.82,0,0,235.6,0,0,0,4.91,3.93,0.98,0.98,0
 84-94,0,0,7.43,1.06,67.97,5.31,1.06,5.31,0,22.3,0,4.25,26.55,1.06,0,0,24.43,0,5.31,3.19,0,3.19,12.74,0,1.06,15.93,0,4.25,7.43,0,0,580.93,0,6.37,0,1.06,6.37,2.12,0,0
 96-106,0,0,3.28,4.37,104.91,1.09,3.28,4.37,0,18.58,0,5.46,37.16,0,1.09,7.65,25.14,0,15.3,1.09,0,10.93,8.74,0,0,22.95,1.09,18.58,12.02,0,2.19,565,0,3.28,0,3.28,7.65,1.09,1.09,0
108-118,0,0,2.3,6.13,98.81,1.53,1.53,6.13,0.77,29.11,0.77,4.6,29.87,0,0,2.3,29.11,0,13.79,2.3,0.77,7.66,15.32,0,0,23.74,0,4.6,11.49,0,0,405.96,0,0,0,0,9.96,0,0,0.77
120,0,0,1.96,0,72.51,0,1.96,1.96,0,17.64,0,5.88,29.4,0,0,5.88,13.72,0,7.84,1.96,0,5.88,7.84,0,0,11.76,0,0,3.92,0,0,248.89,1.96,3.92,0,0,9.8,0,0,0
