stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord,taste,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,1.61,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,3.93,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0,0,0,0,8.83,0.98,0,0,0,0,0,0,4.91,0.98,0,1.96,0.98,0,0,7.85,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,1.06,0,0,11.68,0,0,1.06,3.19,0
 96-106,0,0,0,0,6.56,0,1.09,0,1.09,3.28,1.09,37.16,2.19,0,1.09,0,1.09,1.09,1.09,5.46,0,0,44.81,2.19,0,0,9.84,0
108-118,0,0,0.77,0.77,5.36,0,0.77,0.77,0,1.53,0,41.36,1.53,0.77,0.77,1.53,1.53,0,0,0.77,0,0,18.38,1.53,0,2.3,7.66,0.77
120,0,0,0,0,11.76,0,0,7.84,0,0,0,39.2,3.92,0,0,0,1.96,3.92,0,7.84,1.96,0,127.39,1.96,0,0,5.88,0
