stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,361.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0
  7-9,10.51,10.51,0,2.63,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.89,5.26,0,0,36.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.94,0,0,0,50.35,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,3,13,2,0,7,0,0,1,2,0,0,0,1,0,0,0,0,7,0,4,114,5,0,1,1,0,10,2,0,21,40,0,2,0,0
 24-34,0,0,0,0,0.82,0,0,25.45,0,0,3.28,0,0,0,0,0,0.82,0.82,0.82,0,9.03,0,4.1,121.49,0,1.64,1.64,0,4.93,0,0,0,0.82,26.27,0,0.82,0,0
 36-46,0,0,0,0,1.61,0.81,0,9.67,0,0,4.83,0,0,0.81,0,0.81,0,0.81,0,0,8.06,0,3.22,91.85,0.81,0,0.81,0,3.22,0,0,0.81,0,15.31,0,0.81,0,0
 48-58,0,0,0,0,1.72,0.57,0,17.21,0.57,0,7.46,0,0,0.57,0,0.57,0,0,1.15,0,10.9,0.57,0.57,40.17,0.57,0,0,0,0.57,0,0,0,0,12.62,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,0,10.8,0.98,1.96,7.85,0,0,0,0,0,0,0.98,0,0,6.87,0.98,0.98,34.35,0,0,0.98,0,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,9.82,0,0.98,6.87,0,0,0.98,0,0,0,0,0.98,0.98,18.65,0.98,2.94,23.56,0,0.98,0,0,0,0,0,0,0,2.94,0,3.93,0,0
 84-94,0,0,1.06,0,3.19,0,0,18.05,1.06,2.12,6.37,3.19,0,0,0,0,0,0,1.06,0,10.62,1.06,0,24.43,1.06,0,0,0,2.12,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,2.19,0,4.37,0,0,7.65,0,0,6.56,0,0,0,3.28,0,1.09,2.19,0,0,14.21,1.09,1.09,9.84,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,5.36,0,0.77,16.85,0,0.77,13.02,0,0.77,0,2.3,1.53,0,0,0,0,16.85,0,2.3,34.47,0,1.53,4.6,0,4.6,0,0.77,0,0,0,0,3.83,0.77,0.77
120,0,0,0,0,5.88,0,0,9.8,3.92,1.96,7.84,0,0,0,0,0,0,0,1.96,0,17.64,0,1.96,41.16,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0
