stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,5.26,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,6,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,32.01,0,0,0,0,9.85,0,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,0,0,26.59,0.81,0,0,0,9.67,0,0,0.81,0.81
 48-58,0,0,0,0,2.87,2.87,0,0,0,0.57,0.57,0.57,20.08,0,1.15,0,0,10.33,0,0,0,0.57
 60-70,0,0,0,0,0.98,5.89,0,0,0,0,3.93,0,20.61,0,0,0,0,15.7,0,0,0,0
 72-82,0,0.98,0,0.98,7.85,35.34,0,0.98,0,0,1.96,1.96,65.77,0,0,0,0,27.49,0,0.98,1.96,0
 84-94,0,0,1.06,1.06,6.37,28.68,0,0,0,0,2.12,0,45.67,0,3.19,0,0,12.74,0,0,0,0
 96-106,0,0,4.37,1.09,8.74,51.36,3.28,4.37,0,1.09,0,2.19,53.55,0,0,0,2.19,7.65,0,0,1.09,0
108-118,0,0,0.77,0,9.19,60.51,0,6.89,0.77,0,1.53,0.77,45.19,0,3.06,0,0.77,9.19,0.77,0,0,0
120,0,0,0,0,3.92,64.67,0,7.84,0,0,1.96,0,70.55,0,1.96,0,0,19.6,0,0,0,0
