stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,1.61,0,4.83,0,0,0,0.81,0,0,0,0.81
 48-58,0,0,1.15,0,0.57,0,0.57,0,0,2.87,0,1.15,0,0.57,0,0.57,0,1.15,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,0,0,0,2.94,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,0,3.19,0,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,0,3.28,0,0,1.09,1.09,0,0,0,0,0,2.19,0,0,0,0,0
108-118,0,0,2.3,0.77,1.53,0,0,0,0,0,0.77,0.77,0,0,0.77,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0
