stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,410.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,12.26,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,13.14,0,15.77,0,0,65.72,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,436.37,23.66,0,0,226.07,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,40.91,0,6.29,78.67,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,468.9,6.29,0,0,160.5,0,3.15,0,18.88,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,9,51,11,24,0,1,0,13,1,0,1,1,0,0,0,0,0,23,0,23,320,5,1,1,10,1,0,33,2,10,105,119,0,0,3,0,0
 24-34,0,0,0,1.64,21.34,0.82,41.04,0,1.64,0.82,10.67,2.46,0.82,0.82,0,0,0,0,0.82,0,64.03,0,22.98,526.99,1.64,2.46,4.93,0,1.64,0,0.82,0,13.13,34.48,132.16,0,0,13.95,0,1.64
 36-46,0,0,0,0.81,7.25,0,49.95,0,0.81,0.81,18.53,0,0,0.81,0,0,0.81,0.81,0,0.81,58.01,0.81,12.89,427,1.61,0.81,5.64,0,0,0,0,0.81,4.03,0,116.02,0,0,15.31,0,0.81
 48-58,0,0,0,0.57,4.02,0,72.3,0.57,0.57,1.15,41.89,0.57,0,0,1.72,0,0,0.57,0.57,1.72,84.92,1.15,15.49,170.99,0.57,0,5.16,0,0.57,0,0,0,1.72,0,67.14,0,0,12.05,0,0.57
 60-70,0,0,0,0,5.89,0.98,70.67,1.96,0,0.98,50.06,2.94,0,0,5.89,0,0.98,0,0,0,72.63,1.96,5.89,79.5,2.94,1.96,5.89,0,0,0,0,0,0.98,0,26.5,0,0,10.8,0.98,0.98
 72-82,0,0,0.98,0,3.93,0.98,57.92,0.98,0,4.91,104.06,0.98,0,1.96,5.89,0,3.93,2.94,0,0,105.04,6.87,8.83,76.57,0,0,3.93,0,0,0,0,0.98,0,0,2.94,1.96,0.98,22.58,0.98,0
 84-94,0,0,0,0,5.31,0,36.11,3.19,0,1.06,57.35,3.19,0,2.12,10.62,1.06,5.31,0,0,0,60.54,3.19,9.56,43.54,2.12,1.06,4.25,0,0,0,0,0,0,0,6.37,0,1.06,19.12,4.25,1.06
 96-106,0,0,1.09,0,5.46,0,36.06,6.56,0,1.09,67.76,2.19,0,4.37,14.21,1.09,4.37,2.19,0,1.09,74.31,2.19,4.37,42.62,0,1.09,2.19,0,1.09,0,0,1.09,1.09,0,1.09,1.09,2.19,31.69,1.09,3.28
108-118,0,0,0.77,0,5.36,0,27.57,9.19,0.77,3.06,65.11,1.53,0,0.77,14.55,0.77,6.13,0,0.77,1.53,46.72,0.77,8.43,51.32,0,0,4.6,0,0.77,0,0,0.77,0.77,0,1.53,1.53,0,19.92,0,0.77
120,0,0,0,0,0,0,21.56,13.72,0,0,50.95,1.96,0,3.92,17.64,0,0,0,0,0,39.2,0,11.76,35.28,3.92,1.96,0,0,0,0,0,0,1.96,0,0,0,0,13.72,3.92,0
