stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,453.59,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,36.78,6.13,0,6.13,6.13,0,0,0,0,0,0,0,0,0
  7-9,23.66,15.77,31.54,0,0,60.46,0,0,0,0,26.29,0,0,0,0,0,0,0,0,481.05,18.4,0,205.04,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.06,44.06,0,3.15,66.09,0,0,0,0,34.62,0,0,0,0,0,0,0,0,969.27,28.32,0,415.4,0,0,44.06,0,0,3.15,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,6,0,0,0,0,1,0,0,0,1,0,0,0,0
 24-34,0,0,0,1.64,0,2.46,0,0,0,0,0,0,0,0.82,0,0.82,0,0,3.28,20.52,0,0.82,0,0.82,0,0,0,1.64,2.46,0,0,0,0.82
 36-46,0,0,0,0.81,0,4.83,0,0,0,0,0,0,0,0,0,1.61,0,0,0,28.2,0.81,0,0,3.22,0,0,0,0,1.61,0,0.81,0,0
 48-58,0,0,0,0,0,6.31,0,0.57,1.15,0,0,0,0,0,0,2.3,0,0,0.57,18.94,0,0,0,0,0,0,0,0,4.02,0,0,0,0
 60-70,0,0,0,2.94,0,12.76,0.98,0,0.98,0,0,0,0,0,0,6.87,0,0,1.96,19.63,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,6.87,0.98,0.98,2.94,0,0,0,0,0,0,1.96,0.98,0,0,12.76,0,0,0,0.98,0,0,0.98,0,1.96,0,0.98,0,0
 84-94,0,0,0,0,0,7.43,1.06,0,0,1.06,0,0,0,0,0,6.37,0,0,0,3.19,0,0,0,2.12,0,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,1.09,1.09,4.37,0,0,1.09,0,0,0,0,0,0,4.37,0,1.09,0,7.65,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,2.3,1.53,3.06,0,0,2.3,0.77,0,0,0,0,0.77,5.36,0,0,0,8.43,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,1.96,1.96,3.92,0,1.96,1.96,0,1.96,0,1.96,0,1.96,0,0,1.96,9.8,0,0,0,1.96,0,0,0,0,0,0,0,0,0
