stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0,1,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0.82,0,0,6.57,0.82,0,0,0.82,1.64,0,0,0.82,0,0,0.82,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0.81,0.81,0,0,0,0,0,0,0,1.61,0,0,0,3.22,0
 48-58,0,0,0.57,0,0,0,0,1.72,0,0,1.15,0,0,0,1.72,0,0,0,0,0,0,0,3.44,0,0,0,0.57,0
 60-70,0,0,1.96,0,0.98,0,0,19.63,0,0,0,0,0,0,1.96,0,0,0,2.94,0,0,0,10.8,0,0,0,0.98,0
 72-82,0,0,0.98,0,5.89,0,0,84.42,0,0,0.98,0.98,0,0,7.85,0,0,0.98,16.69,0,0.98,0.98,35.34,0,0,0,2.94,0
 84-94,0,0,1.06,2.12,4.25,0,0,192.23,0,0,5.31,0,0,0,6.37,0,1.06,0,15.93,0,0,1.06,97.71,0,0,1.06,2.12,0
 96-106,0,3.28,1.09,2.19,8.74,0,2.19,311.46,0,0,5.46,1.09,0,2.19,9.84,1.09,0,0,37.16,0,1.09,6.56,76.5,0,0,0,0,0
108-118,0,0,5.36,0,7.66,1.53,0,362.3,0,0,4.6,0,0.77,3.83,5.36,0,0,1.53,35.23,0,0.77,6.13,86.55,0,0.77,0,0,0.77
120,0,0,1.96,0,5.88,0,1.96,197.94,0,1.96,1.96,0,0,0,3.92,0,0,1.96,31.36,0,0,0,50.95,0,0,0,1.96,0
