stage,axial,blastomeres,epidermis,eye,fast.muscle,glial,immune,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,9.85,0.82,0,0,4.1,0
 36-46,0,0,0,4.83,0,1.61,0,1.61,0,0,28.2,0,0,0,5.64,0
 48-58,0,0,0,4.02,0,1.15,0,0,0,0,25.25,1.15,0,0,5.74,0.57
 60-70,0,0,0,8.83,0,0,0,0,0,0,19.63,0.98,0,0,7.85,0
 72-82,0,0,0,13.74,0,0,0,0,0,1.96,26.5,1.96,0,0.98,3.93,0
 84-94,0,0,1.06,5.31,0,2.12,0,1.06,1.06,0,15.93,0,0,0,3.19,1.06
 96-106,0,0,0,6.56,0,2.19,1.09,2.19,0,0,16.39,1.09,0,0,0,0
108-118,0,0,0,1.53,0.77,0,0,0.77,0,0,9.19,0,0,0,0,0
120,0,0,0,3.92,0,3.92,0,1.96,0,0,15.68,0,0,0,1.96,0
