stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,2,0,24,3,9,0,0,3,0,0
 24-34,0,0.82,1.64,1.64,2.46,0,0,0,0.82,0,8.21,0,9.03,0,3.28,0,0,0,1.64,0,0,134.62,0,3.28,3.28,0,0,1.64,0,0,0,54.18,0,0,24.63,0,0
 36-46,0,0,3.22,0,4.83,0.81,0,0,0.81,0,1.61,0,6.45,0,1.61,0,0,3.22,0,0,0.81,295.68,0,1.61,0.81,0,0,0,0,0,0,54.79,0,0,4.03,0,0
 48-58,0,0,1.15,0,54.51,0,0,0.57,5.16,0,1.72,0,3.44,0,0.57,0,0.57,6.31,0.57,0,2.3,522.74,0,0.57,1.15,0,0,0,0.57,0,0,47.63,0,0,0,0,0.57
 60-70,0,0.98,3.93,0.98,185.51,0,1.96,0,25.52,0,1.96,0.98,1.96,0,0,0,0,17.67,0.98,0.98,1.96,1268.13,0,0,0.98,0,0,2.94,0,0,0,60.85,0,0.98,1.96,0,0.98
 72-82,0,1.96,6.87,4.91,364.2,0,0.98,0.98,51.05,1.96,0.98,0.98,7.85,0,0.98,0,0,23.56,0,0,6.87,1525.5,0,0,2.94,0,0.98,0,0,0,0,50.06,0.98,3.93,2.94,0.98,0
 84-94,0,0,11.68,0,243.21,1.06,2.12,1.06,35.05,3.19,3.19,0,10.62,0,1.06,0,1.06,31.86,2.12,2.12,3.19,805.02,1.06,2.12,3.19,0,0,1.06,0,0,0,33.99,0,3.19,1.06,0,2.12
 96-106,0,3.28,10.93,1.09,259,1.09,2.19,0,40.44,4.37,6.56,0,13.11,3.28,4.37,2.19,0,25.14,0,0,2.19,757.34,0,2.19,5.46,0,0,6.56,0,0,0,22.95,1.09,2.19,1.09,1.09,1.09
108-118,0,0,6.89,1.53,221.36,0,0,0.77,28.34,2.3,0.77,3.06,5.36,0.77,1.53,1.53,0,13.79,0.77,0.77,0,822.64,0.77,3.06,4.6,0,0,1.53,0,0,0,20.68,0,0.77,3.06,0,0
120,0,5.88,11.76,0,190.1,0,0,0,41.16,3.92,1.96,5.88,5.88,1.96,1.96,0,0,19.6,1.96,0,3.92,966.17,0,5.88,1.96,0,0,3.92,1.96,0,0,23.52,0,0,0,0,0
