stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,28.92,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,41,4,0,0,1,0,2,4,0,2,7,0,0,1,0,0
 24-34,0,0,0.82,0.82,0,2.46,0,5.75,0,2.46,0,0,0.82,0,0,2.46,0,0.82,70.59,1.64,0,0.82,0,0,0.82,0,0,0,25.45,0,0,0.82,0,0
 36-46,0,0,0,0,0,4.83,0,4.03,0,2.42,0,0,0,0.81,0,4.83,0,0.81,71.7,0,0,0,0,0,0,0,0.81,0,33.03,0,0,0,0,0
 48-58,0,0,0,0,0,10.9,0,1.15,0.57,4.59,0,0,0,0,0,5.74,0,1.15,88.94,0,0,0,0,0,0.57,0,0,0,13.77,0,0,1.15,0,0
 60-70,0,0,0,0,0,13.74,0,3.93,0,7.85,0,0,0,0,0,6.87,1.96,0,82.45,0,0,0,0,0,0,0,0,0,5.89,0,0,0,2.94,0
 72-82,0,0,1.96,0,0,10.8,0,1.96,1.96,1.96,0,0,0,0,0,14.72,2.94,0.98,110.93,0,0.98,0,0,0,0.98,0,0,0,10.8,0,0.98,1.96,19.63,0
 84-94,0,1.06,4.25,2.12,0,13.81,0,4.25,0,2.12,1.06,0,0,0,0,14.87,4.25,1.06,78.59,0,0,0,0,1.06,3.19,0,0,0,2.12,1.06,4.25,0,25.49,1.06
 96-106,0,0,2.19,0,0,6.56,0,8.74,0,2.19,1.09,0,0,2.19,0,15.3,0,1.09,55.74,0,0,0,0,0,2.19,0,0,0,1.09,0,1.09,0,40.44,0
108-118,0,0,0,0.77,0,5.36,0.77,6.13,0,6.13,0.77,0,0,0.77,0.77,9.19,0.77,0,69.7,0,0,0,0,0,1.53,0,0,0,2.3,1.53,0,0,18.38,0
120,0,0,3.92,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,5.88,0,0,74.47,0,0,0,0,0,3.92,0,0,0,3.92,0,1.96,0,13.72,0
