stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,337.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,59.79,0,0,0,53.5,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,2,16,4,0,4,0,0,2,1,1,2,0,0,0,0,0,8,0,3,70,1,0,0,0,0,0,3,0,0,10,33,0,0,2,0,0
 24-34,0,0,0.82,3.28,0,0,13.13,0.82,0.82,3.28,0,0,1.64,0,0,1.64,0,0.82,21.34,0,5.75,247.08,0.82,1.64,0.82,0,0,0.82,0,0.82,0,0.82,49.25,0,0,2.46,0,1.64
 36-46,0,0,0,1.61,0,0,10.47,0,0.81,8.06,0,0,0.81,0,0,0,0,0,17.72,0.81,3.22,434.26,0,1.61,0,0,0,0,0.81,1.61,0,0,67.68,0,0,1.61,0,0
 48-58,0,0,0,2.87,0,0,36.15,0,0.57,9.75,0,0,0.57,0,0,0.57,1.15,0.57,24.67,0.57,2.87,408.55,1.15,1.15,0.57,0,0,0,0,0,0,0,60.25,0,0.57,1.72,0,0.57
 60-70,0,0,0,2.94,0,0,82.45,0,0.98,26.5,0,0,0,0,0.98,0.98,0,0,38.28,3.93,0,723.38,0,0.98,0,0,0,0.98,0,0,0,0,80.48,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,90.31,0,0.98,24.54,0,0,0,0,0.98,0,0.98,0,35.34,2.94,5.89,410.33,0,6.87,2.94,0,0,0.98,0,0,0,0,36.32,0,0.98,0.98,0,0.98
 84-94,0,0,0,2.12,0,0,64.78,1.06,1.06,11.68,0,0,0,0,0,1.06,0,0,30.8,3.19,3.19,262.32,0,1.06,3.19,0,0,0,0,0,1.06,0,20.18,4.25,3.19,4.25,3.19,0
 96-106,0,0,0,1.09,0,0,54.64,0,0,15.3,0,0,0,1.09,0,1.09,0,0,18.58,0,2.19,169.39,0,4.37,2.19,0,2.19,2.19,0,0,0,0,8.74,0,1.09,1.09,0,0
108-118,0,0,0,5.36,0,0.77,36.77,1.53,0,16.09,0.77,0,0,0,1.53,0,2.3,0,25.28,0,1.53,187.66,0,1.53,0.77,0,0,0,0,0,0,0,6.13,0.77,0,1.53,1.53,0.77
120,0,0,0,7.84,0,0,33.32,1.96,1.96,3.92,1.96,0,0,0,0,1.96,0,0,17.64,0,1.96,188.14,1.96,1.96,0,0,0,0,0,0,0,0,9.8,0,0,0,1.96,0
