stage,axial,blastomeres,endoderm,eye,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,257.44,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,2.63,0,2.63,7.89,0,0,0,0,0,0,0,105.15,7.89,0,23.66,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,1,7,1,1,0,0,0,1,5,2,9,0
 24-34,0,0,0,1.64,0,0.82,0,2.46,2.46,0,0,4.1,0,0,0,0,0,0,6.57,0,3.28,1.64
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0.81,0.81
 48-58,0,0,0,0.57,0.57,0,0,0,1.15,0,0.57,3.44,0,0,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,0.98,0,0.98,0.98,0.98,2.94,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,1.06,0,0,1.06
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0.77,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0
