stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,0,5,0,1,0,0,0,0,23,0,3,44,0,0,0,0,0,2,0,0,20,0,0,0,0
 24-34,0,0.82,0,0,0.82,1.64,0,0,1.64,0,2.46,0.82,0,1.64,0,0,0,21.34,0,0,155.96,0,0,0.82,0,0,0,0,0.82,33.66,0,4.1,0,0
 36-46,0,0,0,0,0,3.22,0,0,0.81,0,0,0,0,2.42,0,0,0,27.39,0,0.81,268.29,0,0,0,0,0,0,0,0,37.87,0,6.45,0,0
 48-58,0,0,0,0.57,0,33.28,0,0.57,2.3,0,0.57,0,0,0.57,0.57,0,0,18.94,0.57,0.57,240.42,0.57,0,0,0,0,0,0,0,37.3,0,3.44,0,0
 60-70,0,0,0,0,0,113.86,0.98,0,3.93,0,0,0,0,10.8,0,0,0.98,23.56,2.94,0,478.98,0.98,0,0.98,2.94,0,0,0,0,47.11,0,2.94,0,0
 72-82,0,0.98,0,1.96,1.96,126.63,0,0,4.91,0.98,0,0.98,0,12.76,0.98,0.98,0,19.63,2.94,0,289.59,1.96,0,0.98,0,0,0,0,0,16.69,0,7.85,0,0.98
 84-94,0,0,0,1.06,0,64.78,0,0,1.06,0,0,3.19,0,11.68,2.12,0,0,25.49,2.12,1.06,151.87,1.06,0,3.19,1.06,0,0,0,0,13.81,3.19,4.25,1.06,0
 96-106,0,0,0,0,2.19,53.55,0,0,3.28,4.37,0,7.65,0,5.46,0,0,0,21.86,2.19,0,86.33,1.09,0,1.09,0,0,0,0,0,2.19,2.19,1.09,0,2.19
108-118,0,0,0,1.53,0.77,31.4,0,0,2.3,1.53,0,6.13,0,6.89,0,0,0,15.32,0,2.3,91.15,0.77,0,1.53,0.77,0,0,0,0,2.3,0.77,6.13,0,0
120,0,0,0,0,0,19.6,0,0,7.84,1.96,0,0,0,5.88,3.92,0,0,13.72,0,0,105.83,0,0,1.96,0,0,0,1.96,0,1.96,0,3.92,0,1.96
