stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,882.92,13612.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553.47,0,0,0,0,0,0,0,0,0
  5-6,698.78,7986.91,6.13,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,226.8,6.13,0,0,61.3,202.28,0,0,0,0,0,0,0,0,0
  7-9,94.63,65.72,128.81,0,0,215.55,0,0,0,78.86,0,0,0,0,0,0,0,1869.02,73.6,0,0,762.33,10.51,7.89,0,0,0,0,0,0,0,0
 10-12,0,15.73,31.47,0,3.15,97.56,0,0,0,18.88,0,0,0,0,0,0,0,597.92,15.73,0,0,245.46,0,9.44,0,22.03,0,0,0,0,0,0
 14-21,0,0,3,24,9,8,0,2,3,31,0,0,1,1,10,0,11,97,3,2,0,5,9,4,23,2,6,32,41,0,1,0
 24-34,0,0,0,1.64,0.82,2.46,0,0.82,0,27.91,0.82,0,0.82,0,1.64,0,0.82,27.09,0.82,0,0,0,5.75,0,0,0,0,0.82,9.85,0,0,0.82
 36-46,0,0,0,0.81,0,4.03,0.81,0.81,0,4.03,0,0,0.81,0.81,1.61,0,0,16.11,0,0,0,0,0.81,0,0,0,0,0,6.45,0,0,0.81
 48-58,0,0,0,0,0,2.3,0.57,2.3,0,1.72,0,0,0.57,0,1.15,0,0,9.18,0,0.57,0,0,1.15,0,0,0,0,0,1.72,0,0,0.57
 60-70,0,0,0,0,0,1.96,0,1.96,0,0.98,0,0,0,0,0,0,0,2.94,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0.98,2.94,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,1.06,3.19,0,0,0,0,0,0,0,0,1.06,0,0,2.12,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,2.19,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,1.53,0.77,0,2.3,0,0,0,0,0,1.53,0.77,0,4.6,0.77,0,0.77,0,0.77,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0
