stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,192,0,12,0,0,0,0,4,0,1,2,28,0,0,0,0,0
 24-34,2.46,3.28,0,4.93,0,0,0,0.82,0,0,0,0.82,0,0,0,0,3.28,0,0,3.28,677.21,0,74.7,0,0,0,0.82,0,0,0,0.82,95.22,0,0,3.28,0,0
 36-46,0.81,4.03,0,50.76,0,1.61,0,2.42,0,1.61,0,0,0,0,0,0,5.64,0,0,0.81,1501.77,0,84.6,0,0,0,0.81,0,0.81,0,0,165.97,0,0,0.81,0,0
 48-58,1.15,5.16,0.57,142.88,0,0.57,0,11.48,0,1.15,0.57,0,0.57,0.57,0,1.15,23.53,0,0,4.59,1740.35,1.72,57.95,0,0,0,2.3,0,0,0.57,0,166.98,0,0,2.87,0,1.72
 60-70,0,4.91,0.98,202.19,0,0.98,0.98,10.8,0,0,0,0.98,0.98,0,0,0,22.58,0,0.98,1.96,2043.53,0,62.82,0.98,0,0,4.91,0,0,0.98,0,202.19,0,0,0.98,0,1.96
 72-82,1.96,13.74,7.85,297.44,0,4.91,1.96,39.27,0.98,0.98,2.94,0,0.98,0,1.96,0.98,30.43,0,1.96,5.89,2115.48,0,108.96,2.94,0,0,2.94,0,0,0,0,96.2,0,0,5.89,0.98,3.93
 84-94,2.12,14.87,3.19,264.45,1.06,1.06,1.06,36.11,0,2.12,2.12,2.12,2.12,0,0,0,27.61,0,6.37,4.25,1110.89,1.06,98.77,3.19,0,0,9.56,0,0,1.06,0,59.47,2.12,2.12,1.06,3.19,1.06
 96-106,5.46,21.86,3.28,220.76,1.09,1.09,0,41.53,2.19,0,4.37,1.09,1.09,0,6.56,0,33.88,1.09,2.19,1.09,1136.56,0,177.04,3.28,0,1.09,5.46,0,0,1.09,0,19.67,0,1.09,6.56,0,3.28
108-118,3.83,15.32,2.3,186.13,0.77,0.77,0.77,24.51,4.6,0.77,0.77,0.77,0,0.77,3.06,0,26.81,0,0.77,2.3,1231.67,0.77,107.23,0.77,0,0.77,5.36,0,0,0,0,22.98,3.83,0,1.53,0,0
120,3.92,15.68,0,260.65,1.96,0,1.96,33.32,0,0,5.88,0,0,1.96,3.92,0,23.52,1.96,0,7.84,1510.99,0,72.51,1.96,0,0,11.76,0,0,0,0,33.32,0,0,3.92,0,1.96
