stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,197.67,3294.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0
  5-6,257.44,2874.8,6.13,0,0,0,0,12.26,0,0,0,0,0,79.69,24.52,0,24.52,134.85,0,0,0,0,0,0,0,0
  7-9,31.54,31.54,52.57,0,0,68.35,0,39.43,0,0,0,0,0,788.61,28.92,0,325.96,0,2.63,0,2.63,0,0,0,0,0
 10-12,0,9.44,34.62,0,0,31.47,0,18.88,0,0,0,0,0,361.9,31.47,0,125.88,6.29,6.29,3.15,15.73,0,0,0,0,0
 14-21,0,0,2,32,3,2,1,0,1,0,3,10,10,111,7,2,3,7,1,23,3,6,22,38,0,0
 24-34,0,0,0,1.64,0,0.82,0,0,0,0.82,0,0.82,0.82,6.57,0.82,0,0,8.21,0,0,0,0,0.82,0.82,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,0.81,1.61,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,0,1.72,0,0.57,0,0,0,1.15,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,3.93,0.98,0,0,0,2.94,0,2.94,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0.98,0,4.91,0,1.96,0,0,0,0.98,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,5.31,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,1.09,0,1.09,0,2.19,1.09,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,3.06,0,2.3,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
