stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,1330.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,0,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,9,1,3,0,0,3,0,2,0,0,8,0,0,0,0,0
 24-34,0,0,0,0.82,57.46,0,0,2.46,0,14.78,0,1.64,0.82,0.82,0,0.82,0.82,0,0,0,0,2.46,0,0,1.64,113.28,1.64,20.52,9.03,0,0,2.46,0,0,0,0.82,31.19,0,0,0.82,0,0
 36-46,0,0,0,0,20.14,0,0,17.72,0,7.25,0,0,0,1.61,0,0,0,0,1.61,0,0.81,0,0,0,0.81,285.21,0,29,4.83,0,0,0,0,0,0,0,89.43,0,0,0.81,0,0
 48-58,0,0,0,0,25.25,0.57,0,92.38,0,9.75,0.57,8.61,0.57,1.15,0,0,0,0,1.15,0,0,8.61,0,0,0.57,574.95,0,18.94,6.31,0,0,1.15,0,0,0,0,98.12,0,0,0.57,0,1.15
 60-70,0,0,0,0,29.45,0,0,405.37,0.98,7.85,1.96,16.69,2.94,0,0,0,0,0,4.91,0,0,9.82,0,0,0.98,943.24,0,24.54,3.93,0,0.98,0.98,0,0,0,0,95.21,0,0,1.96,0,0.98
 72-82,0,0,0.98,0,37.3,3.93,0,789.26,0,8.83,0.98,43.19,4.91,2.94,0,0.98,0.98,1.96,5.89,0.98,0,23.56,0.98,0.98,0,863.86,1.96,43.19,8.83,0,0,1.96,0,0,0,0,53.01,0.98,0.98,4.91,0,2.94
 84-94,0,0,0,0,42.48,2.12,0,654.22,0,12.74,1.06,31.86,6.37,1.06,0,0,5.31,1.06,2.12,1.06,1.06,16.99,0,1.06,1.06,415.26,1.06,41.42,7.43,0,0,7.43,0,0,0,0,24.43,6.37,1.06,2.12,3.19,1.06
 96-106,0,0,0,0,48.09,2.19,0,492.87,0,15.3,1.09,30.6,15.3,0,0,0,0,0,6.56,0,0,13.11,1.09,0,2.19,343.15,0,56.83,15.3,0,0,4.37,0,0,0,0,7.65,3.28,0,2.19,1.09,0
108-118,0.77,0,0,0,58.98,3.83,0.77,367.66,0,13.02,1.53,29.87,14.55,0,1.53,0,3.06,2.3,3.83,0.77,0,19.15,1.53,0,0.77,397.53,0.77,33.7,12.26,0,0,3.83,0,0,2.3,0,3.83,11.49,0,0.77,1.53,0.77
120,1.96,0,0,0,43.12,3.92,0,297.89,0,9.8,0,25.48,15.68,0,0,5.88,0,1.96,1.96,3.92,0,19.6,1.96,1.96,0,380.2,1.96,39.2,3.92,0,0,1.96,0,0,0,0,3.92,3.92,0,0,0,0
