stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,197.67,2279.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0
  5-6,208.41,3224.19,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,73.56,6.13,0,0,42.91,61.3,0,0,0,0,0,0,0,0,0
  7-9,26.29,39.43,92,0,2.63,126.18,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,1472.08,28.92,0,0,557.29,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,40.91,69.23,0,12.59,113.29,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,991.3,12.59,0,0,374.49,0,12.59,3.15,50.35,0,0,0,0,0,0
 14-21,0,0,0,15,2,7,0,0,7,1,0,0,0,0,0,0,0,18,0,12,224,3,2,1,2,0,0,21,1,8,73,0,1,0,0
 24-34,0,0,0.82,16.42,2.46,113.28,0,0.82,12.31,0.82,0,0,0,0,0,2.46,0.82,77.16,0,22.98,833.99,4.93,4.93,6.57,0,10.67,0,0,0,1.64,179.77,0,4.93,0,0.82
 36-46,0,0,0,8.06,8.86,268.29,1.61,0,21.75,0,0,0,0,0,0.81,0,0.81,46.73,0.81,17.72,567.19,4.83,6.45,4.03,0,4.03,0,0,0,0,124.07,0,6.45,0.81,0
 48-58,0,0,0,10.9,2.3,346.58,0,0.57,21.23,1.72,0,0,0.57,0,2.3,1.15,0.57,53.94,1.72,12.62,255.34,0.57,0,2.3,0,4.59,0,0,0,0,42.46,0,6.31,0,1.15
 60-70,0,0,0,9.82,1.96,223.79,0,0,18.65,0.98,0,0,1.96,0.98,0.98,1.96,2.94,59.87,3.93,5.89,124.65,0,0,2.94,0,2.94,0,0,0.98,0,4.91,0,3.93,0,0
 72-82,0,0,0,6.87,0,87.37,0,0.98,17.67,0.98,0,0,2.94,0,0,0,0,51.05,1.96,10.8,107,0.98,1.96,0.98,0,0,0,0,0.98,0,1.96,0,4.91,0,0
 84-94,0,0,0,4.25,1.06,67.97,1.06,0,11.68,5.31,0,1.06,5.31,2.12,2.12,1.06,3.19,38.23,5.31,8.5,70.09,1.06,0,1.06,0,1.06,0,0,1.06,0,0,1.06,8.5,0,0
 96-106,0,0,0,10.93,0,46.99,0,0,7.65,1.09,0,3.28,3.28,1.09,1.09,0,0,22.95,0,0,54.64,0,0,2.19,0,1.09,0,0,1.09,0,0,0,2.19,0,0
108-118,0,0,0,4.6,2.3,38.3,0,0,12.26,1.53,0,0,3.83,0,0,0,2.3,17.62,1.53,6.89,65.87,0.77,0.77,2.3,0,0.77,0,0,0.77,0,1.53,0,3.06,0,0
120,0,0,0,3.92,5.88,29.4,0,0,5.88,0,0,1.96,5.88,1.96,0,0,1.96,13.72,0,7.84,78.39,0,3.92,0,0,1.96,0,0,0,0,1.96,0,9.8,0,0
