stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste
  3-4,461.23,6009.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.45,0,0,0,0
  5-6,153.24,999.13,6.13,0,0,0,0,0,0,0,0,85.81,6.13,0,0,12.26,30.65,0,0,0,0
  7-9,13.14,0,15.77,0,10.51,0,10.51,0,0,0,0,73.6,7.89,0,0,47.32,0,86.75,0,0,0
 10-12,0,0,9.44,0,6.29,0,0,0,0,0,0,22.03,3.15,0,0,6.29,0,53.5,0,0,0
 14-21,0,0,1,5,1,0,1,0,0,0,0,7,1,0,0,1,7,13,1,1,0
 24-34,0,0,0,0.82,0,0,0,1.64,3.28,0.82,0,1.64,0,1.64,0,0,4.93,0.82,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,1.61,0,0.81,0.81,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,1.72,0,0.57,1.72,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,4.91,0,0.98,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.19,0,0,0,0,4.25,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,8.74,0,1.09,0,0,12.02,0,0,5.46,0,0,0,0
108-118,0,0,0,1.53,0,0,0,3.06,6.89,0,0,0.77,0,6.89,0,0,4.6,0,0,0,0.77
120,0,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0,3.92,0,0,3.92,0,0,0,0
