stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,8,3,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,3,35,0,1,1,0,0,3,0,9,0,0,7,35,0,0,0,0,0
 24-34,0,0,2.46,4.93,0,0,11.49,0,0,0,2.46,0.82,0,0.82,0.82,4.1,0,0.82,0.82,0,19.7,0,0,9.85,165.81,2.46,0.82,0,0,0,18.88,0,0,0,0,3.28,55,0,0,6.57,0,0
 36-46,0,0,0,1.61,0,0,16.92,0,1.61,0.81,4.03,0,0,1.61,0.81,0.81,0.81,0,0.81,0,31.42,0.81,0.81,12.09,293.26,0.81,9.67,1.61,0,0,13.7,0.81,0,0.81,0,0,60.43,0,0,1.61,0,2.42
 48-58,0,0.57,0,1.72,0,0,33.85,0,2.87,1.72,8.61,0,1.15,1.15,0,1.15,0,1.15,0,1.15,21.8,0,0.57,6.89,266.25,0,2.87,2.3,0,0,12.05,0,0,0,0,0,78.04,0,0.57,5.74,0,1.15
 60-70,0,0.98,0,6.87,0,0,111.89,1.96,4.91,1.96,35.33,0,0,0.98,0,0.98,0,1.96,0,0,57.91,0,2.94,4.91,452.48,0,2.94,0.98,0,0,12.76,0,0,0.98,0,0,79.5,0,1.96,3.93,0.98,0.98
 72-82,0,0,0,14.72,13.74,0,184.55,0,1.96,2.94,53.99,3.93,0,1.96,0,3.93,0.98,2.94,0,0,85.4,2.94,2.94,5.89,518.32,3.93,11.78,4.91,0,0,20.61,0,0,0,0,0,67.73,3.93,2.94,16.69,2.94,2.94
 84-94,0,2.12,0,22.3,10.62,1.06,97.71,1.06,9.56,3.19,40.36,3.19,3.19,3.19,6.37,5.31,1.06,4.25,0,1.06,67.97,2.12,2.12,12.74,246.39,2.12,5.31,2.12,0,0,64.78,0,0,0,0,0,43.54,2.12,3.19,8.5,1.06,6.37
 96-106,0,2.19,0,32.79,15.3,1.09,125.68,2.19,6.56,6.56,63.39,7.65,0,3.28,5.46,3.28,3.28,6.56,1.09,2.19,92.89,3.28,3.28,5.46,278.68,2.19,7.65,9.84,1.09,2.19,62.29,0,0,1.09,0,0,25.14,4.37,3.28,15.3,4.37,2.19
108-118,0,0,0.77,39.83,8.43,0,104.17,4.6,13.02,2.3,55.92,9.19,0,1.53,5.36,5.36,3.83,6.13,2.3,0.77,79.66,2.3,6.13,6.13,297.19,2.3,9.96,12.26,0,3.06,38.3,0,0,0.77,0.77,0,18.38,5.36,0,10.72,0.77,8.43
120,0,0,0,48.99,23.52,1.96,111.71,7.84,23.52,7.84,47.03,3.92,0,0,3.92,7.84,7.84,3.92,0,1.96,86.23,0,0,5.88,329.24,3.92,5.88,7.84,0,3.92,62.71,0,0,1.96,1.96,0,15.68,1.96,3.92,23.52,5.88,0
