stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,3,0,0,0,2,2,0,0
 24-34,0,0.82,0,0,0,0,0,3.28,0,0,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,12.89,0,0,0,0,3.22,0,0
 48-58,0,0.57,0.57,1.15,0.57,0,0,7.46,0,0,0,0,3.44,0,0
 60-70,0,0.98,0,5.89,0,0.98,0,16.69,0,0,0,0,3.93,0,0
 72-82,0,0,0,3.93,0.98,0.98,0,14.72,0.98,0,0,0,2.94,0,0.98
 84-94,0,1.06,1.06,7.43,0,2.12,0,7.43,0,0,1.06,0,1.06,0,0
 96-106,0,0,1.09,3.28,1.09,0,0,3.28,0,0,0,0,1.09,0,0
108-118,0,1.53,0,0.77,0.77,0.77,0.77,10.72,0,0,0.77,0,0,0.77,0
120,0,0,0,1.96,0,1.96,0,11.76,0,0,0,0,0,0,0
