stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,2,3,0,0,0
 24-34,0,1.64,0,0,0,0.82,1.64,0,0,0,0,0,0,14.78,0.82,1.64,0,0,0,0,0,9.85,0,0,0
 36-46,0,0,0,0,0,1.61,0.81,0,0,0,0,0,0,22.56,0.81,0.81,0,0,0,0.81,0,11.28,0,0.81,0
 48-58,0,0,0,0.57,0,11.48,0.57,0,0,0,0,0.57,0.57,28.69,0,0,0.57,0,0.57,0,0,3.44,0,0,0
 60-70,0,0,0,0,0,32.39,0,0,0,0,0,0.98,0,48.09,0,0.98,0,0,0,0,0,5.89,0,0,0
 72-82,0,0,0,0,0,58.9,3.93,0,0,0,0,2.94,0.98,45.16,0,0,0.98,0,0,0,0,2.94,0,0.98,0.98
 84-94,0,0,0,1.06,1.06,35.05,1.06,2.12,0,1.06,0,1.06,3.19,21.24,0,0,0,0,1.06,0,0,1.06,1.06,0,1.06
 96-106,0,0,0,0,1.09,33.88,4.37,1.09,0,2.19,0,0,0,19.67,0,0,0,0,0,0,0,0,0,0,0
108-118,0,3.06,0,0,0,20.68,3.83,0.77,0,1.53,0.77,0,1.53,13.79,0,1.53,2.3,0,0,0,0,1.53,0,0.77,0
120,0,0,0,0,0,13.72,3.92,0,0,1.96,0,0,3.92,48.99,0,0,1.96,0,0,0,0,0,0,3.92,0
