stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,5,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,2,35,0,2,0,1,0,0,1,1,2,3,19,0,0,1,0,0
 24-34,0,1.64,0,1.64,0,0,9.03,0,0.82,0,3.28,0,1.64,0,0,0,0.82,0,0,8.21,0,0,4.1,101.79,0.82,0.82,1.64,0,0,0.82,0,0.82,0.82,4.1,36.12,0,0,2.46,0,0.82
 36-46,0,0,0,0.81,0,0,45.12,2.42,0,0,3.22,0,6.45,0.81,0,0,0,0,0,8.06,0,0.81,2.42,193.36,0.81,0,0,0,0,3.22,0,0,0.81,0.81,63.65,0,0,3.22,0,0
 48-58,0,0,0,2.87,0,0,237.56,2.3,1.15,0.57,19.51,0,4.02,0,0,0,0,0.57,0.57,10.9,0,0.57,2.3,258.79,0,1.72,0,0,0,1.15,0,0,0.57,0,50.49,0,0,0,0,0.57
 60-70,0,0,0,4.91,0,0,715.53,0.98,0,0,22.58,0,2.94,0,0.98,0,0,0.98,0,16.69,0.98,0,1.96,360.22,0.98,2.94,0,0,0,1.96,0,1.96,0,0,44.17,0,0,0.98,0,0
 72-82,0,1.96,0,0.98,2.94,0,709.74,0.98,0.98,2.94,70.68,3.93,2.94,2.94,0,0,0,0.98,0,43.19,0,2.94,1.96,399.54,0.98,7.85,0.98,0,1.96,0.98,0,0.98,0,0,36.32,0.98,0,3.93,1.96,2.94
 84-94,0,2.12,0,11.68,2.12,1.06,515.09,2.12,0,1.06,42.48,3.19,4.25,2.12,1.06,2.12,0,1.06,0,19.12,0,2.12,1.06,215.59,0,3.19,1.06,0,2.12,7.43,0,0,1.06,0,21.24,0,1.06,3.19,2.12,0
 96-106,0,0,0,8.74,3.28,0,324.58,1.09,1.09,0,40.44,1.09,4.37,3.28,0,0,0,2.19,0,17.49,0,3.28,3.28,151.91,0,3.28,0,0,1.09,4.37,0,1.09,0,0,24.04,2.19,1.09,1.09,2.19,2.19
108-118,0,0.77,0,4.6,0.77,0,249.7,0,0,0,38.3,0.77,5.36,0.77,0,0,0,0.77,0,8.43,0,4.6,3.06,183.83,0.77,2.3,1.53,0,0.77,5.36,0,0.77,0.77,0,8.43,0,0.77,2.3,0,0.77
120,0,0,0,19.6,3.92,0,256.73,5.88,3.92,1.96,21.56,0,7.84,5.88,0,0,0,1.96,0,9.8,0,3.92,3.92,241.05,3.92,3.92,0,0,3.92,1.96,0,0,0,0,13.72,1.96,1.96,3.92,0,0
