stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,47.32,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,3,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,11.49,0,0,1.64,0,0.82,0,0,0,16.42,0,0,0.82,0,0,16.42,0,0,7.39,0,0.82,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,13.7,0.81,0,0,0,2.42,0,0,0,18.53,0,0,0,0,0,18.53,0,0,12.09,0,0,0,0
 48-58,0,0,0,0,0,5.16,0,1.72,0,0,8.03,0,0,0,0,0.57,0,0,0.57,14.92,0,0,0,0,0,12.62,0,0.57,2.87,0,0.57,0,0.57
 60-70,0,0,0,0,0,2.94,0.98,1.96,0,0,13.74,0.98,0,0,0,0,0,0,0,4.91,0,0,0,0,0,28.46,0,1.96,0.98,0,0.98,0,0
 72-82,0,1.96,0.98,0,0,3.93,0,1.96,1.96,0,32.39,5.89,0,0,0,2.94,0,0,0,14.72,0,0,0,0,0,45.16,0,0,0,0,0,0,0.98
 84-94,0,0,2.12,0,0,6.37,5.31,0,8.5,0,52.04,9.56,0,0,0,0,0,0,0,4.25,0,0,0,0,0,210.28,0,8.5,0,0,1.06,0,1.06
 96-106,0,1.09,3.28,0,0,3.28,2.19,1.09,7.65,0,60.11,13.11,0,0,0,6.56,0,1.09,0,9.84,0,0,0,0,1.09,142.07,0,3.28,1.09,1.09,3.28,0,0
108-118,0,2.3,3.83,0,0.77,6.89,1.53,0.77,30.64,0,68.94,13.02,0,0.77,0.77,3.83,2.3,0,0,5.36,0,1.53,0.77,0,0,93.45,0,6.89,0,2.3,1.53,0.77,2.3
120,0,0,9.8,1.96,0,3.92,7.84,1.96,27.44,0,62.71,1.96,1.96,0,0,1.96,3.92,0,1.96,5.88,0,0,0,0,1.96,96.03,0,3.92,0,3.92,0,0,0
