stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,0,18.4,0,0,0,0,2.63,0,0,0,0,0,0,0,107.78,0,0,0,42.06,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,28.32,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,100.7,0,0,0,28.32,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,2,0,2,16,0,0,0,0,2,0,2,0,3,6,0,0,0,0
 24-34,0,0,0,2.46,0.82,0,0,4.1,0.82,0,0,0,0,0,0,0,0,3.28,0,0.82,30.37,1.64,0,1.64,0,1.64,0,0,0.82,0,9.85,0,0,1.64,0
 36-46,0,0,0,0,3.22,0,0,3.22,0,0.81,0,0,0,0,0,0,0,0.81,0,0.81,13.7,0,1.61,0.81,0,4.83,0,0,0.81,0,2.42,0,0,0,0
 48-58,0,0,0,0,2.87,0,0,4.59,0,0,0,0.57,0.57,0,0.57,0.57,0,1.15,0,0,7.46,0,0.57,1.15,0,1.15,0,0,0,0,0.57,0,0,0.57,0
 60-70,0,0,0,0,1.96,0,0,2.94,0,0,0.98,0,0.98,0.98,0.98,0,0,4.91,0,0.98,1.96,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,5.89,0,1.96,1.96,1.96,0,0,0,2.94,0,3.93,0.98,0,3.93,0,0.98,3.93,0,1.96,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,2.12,0,2.12,0,0,4.25,1.06,0,1.06,5.31,0,1.06,1.06,0,0,1.06,0,1.06,2.12,0,1.06,1.06,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,3.28,0,0,1.09,0,0,1.09,0,0,0,4.37,0,0,5.46,0,0,2.19,0,3.28,0,0,0,0,0,1.09,0,2.19,2.19
108-118,0,0,0.77,0,7.66,0,2.3,3.83,0,0,1.53,4.6,0,0.77,0,0,0,1.53,0,0,5.36,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,3.92,0,0,0,0,0,1.96,7.84,0,0,1.96,0,1.96,0,0,0,3.92,0,1.96,1.96,0,1.96,0,0,0,0,0,1.96,0,0,0
