stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,15,3,0,4,0,0,0,1,0,8,0,0,0,0,0,33,0,0,13,296,0,0,3,1,0,7,2,0,5,27,0,0,0,0
 24-34,0,16.42,0,0,9.03,1.64,0,0,1.64,0,4.93,0,0,0,5.75,0,128.05,0,0.82,24.63,948.09,0,1.64,18.06,0,0.82,18.88,0.82,4.1,3.28,66.49,0,0,0,0.82
 36-46,0,14.5,0,0,8.86,1.61,0,0,41.89,0,4.03,0.81,0,0,0.81,0.81,122.46,0,1.61,24.17,1141.63,0.81,0.81,6.45,0.81,1.61,28.2,0,2.42,0.81,136.16,0,0.81,0,0
 48-58,0,8.03,0,0,11.48,0.57,0,1.15,106.15,0,0.57,0,0,0,0.57,0,88.37,0.57,5.16,19.51,480.85,0,1.15,10.9,0,1.15,37.3,0,0.57,0,104.43,0.57,1.72,0,0.57
 60-70,0,9.82,0,0,8.83,0,1.96,0.98,99.13,0.98,0,0,2.94,0.98,0.98,0,116.8,0.98,10.8,28.46,131.52,0,0,7.85,0,0.98,80.48,0,1.96,0,53.98,1.96,3.93,0.98,0
 72-82,0.98,6.87,0.98,0,13.74,1.96,1.96,0,80.5,0,0.98,0.98,1.96,0,2.94,0,152.16,0,8.83,17.67,90.31,0,0,9.82,0,0.98,160.99,0,0,0,17.67,3.93,9.82,2.94,0
 84-94,0,16.99,1.06,1.06,20.18,0,7.43,0,52.04,0,0,0,5.31,0,3.19,1.06,87.09,2.12,8.5,21.24,65.85,0,0,10.62,0,0,456.68,0,3.19,0,15.93,0,4.25,4.25,0
 96-106,0,42.62,2.19,0,13.11,1.09,0,0,54.64,0,1.09,1.09,1.09,0,3.28,0,91.8,2.19,2.19,17.49,49.18,0,3.28,10.93,0,1.09,421.84,0,1.09,0,8.74,0,5.46,5.46,0
108-118,0,20.68,0.77,0,6.89,0,7.66,0.77,40.6,0.77,2.3,1.53,6.13,0.77,1.53,0.77,68.94,3.06,6.89,18.38,55.92,0,0.77,16.85,0,0.77,314.81,0,0,0,4.6,2.3,3.83,4.6,0
120,0,33.32,1.96,0,11.76,0,9.8,0,76.43,1.96,1.96,0,5.88,0,1.96,0,47.03,1.96,3.92,13.72,66.63,1.96,1.96,7.84,0,1.96,293.97,0,5.88,0,0,5.88,5.88,0,0
