stage,axial,blastomeres,erythrocytes,fin.epithelia,glial,immune,mesenchyme,neural,spinal.cord,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,18.4,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0
 24-34,0,0,0,0,0,1.64,0,1.64,0,0
 36-46,0,0,0,0,0,1.61,0,0.81,0,0
 48-58,0,0,0,0,0,2.87,0,0,0,0
 60-70,0,0,0,0,0,3.93,0,0,0.98,0
 72-82,0,0,0.98,0,0,7.85,0,0,0,0
 84-94,0,0,0,0,0,22.3,0,0,0,0
 96-106,0,0,1.09,1.09,0,38.25,2.19,0,0,2.19
108-118,0,0,0,0,0.77,37.53,0,0,0,1.53
120,0,0,0,0,0,15.68,0,0,0,1.96
