stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,3.28,0,0,4.1,0,0,0.82,0,0
 36-46,0,0,3.22,0,0,0,0,0,0,0,0.81,0,0,6.45,0,0,4.83,0.81,0,0,0.81,0
 48-58,0,0,0.57,0.57,0,0.57,0.57,0,0,0,1.72,0,0,3.44,0,0,8.03,0,0,2.87,0,0
 60-70,0.98,0,0.98,0,0.98,0.98,0,0,0,0,0,0,0,1.96,0,0,12.76,0,0,0.98,0,0
 72-82,0,0,4.91,0,0,0.98,0,0,0,0,0.98,0,0,8.83,0,0,7.85,0,0,0,0.98,0
 84-94,2.12,0,0,1.06,0,1.06,0,0,0,1.06,1.06,1.06,0,4.25,0,0,55.23,0,0,0,0,0
 96-106,13.11,0,2.19,0,0,0,1.09,0,0,3.28,2.19,0,1.09,2.19,3.28,0,71.04,0,0,1.09,1.09,0
108-118,5.36,0.77,2.3,0,0,0,2.3,0,0.77,2.3,1.53,0,0,6.89,0.77,0,67.4,0.77,0,0,0,0.77
120,13.72,0,0,1.96,0,0,0,0,0,1.96,0,0,0,19.6,1.96,0,78.39,0,0,0,1.96,0
