stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,1,0,0,1,0,19,4,4,0,0,0,0,0
 24-34,0,0,0,0,5.75,0.82,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,5.75,13.95,0,0,0,0.82,1.64,0,1.64,4.93,2.46,5.75,0,0,1.64,0,0.82
 36-46,0,0,0,0,4.83,4.03,1.61,0.81,0,0.81,0,0.81,0,0,0,0,0,0,6.45,0,0,5.64,17.72,0,0,0,0,1.61,0,0,4.03,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,4.02,5.74,0,0,6.31,0,0,1.15,0,0,0,0,0,1.15,11.48,0,0,2.3,21.23,1.72,0,0,0,4.02,0,0.57,6.89,0,5.74,0,0.57,3.44,0,0
 60-70,0,1.96,0,0,24.54,6.87,0,1.96,64.78,0,0,0,0,0,0,0,0.98,0.98,28.46,0,0,1.96,25.52,0.98,0.98,0,0.98,4.91,0,0,3.93,0,5.89,0,3.93,1.96,0.98,0
 72-82,0,3.93,0,0,51.05,1.96,0.98,4.91,92.28,0,0,0,0.98,0,0,1.96,0,1.96,49.08,0,5.89,3.93,31.41,2.94,0,0,8.83,1.96,0,0,6.87,0,3.93,0.98,2.94,0,13.74,0
 84-94,0,2.12,0,0,42.48,6.37,0,1.06,74.34,4.25,0,1.06,4.25,0,0,0,0,3.19,41.42,0,6.37,4.25,32.92,3.19,0,0,4.25,7.43,0,1.06,10.62,0,3.19,0,5.31,5.31,15.93,1.06
 96-106,0,3.28,2.19,0,43.71,6.56,1.09,1.09,77.59,0,0,1.09,1.09,0,0,0,0,0,44.81,0,6.56,3.28,28.41,2.19,1.09,0,7.65,12.02,0,3.28,12.02,0,3.28,0,8.74,7.65,9.84,2.19
108-118,0,0,0.77,0.77,45.96,3.06,0,0.77,70.47,0.77,0,0,0,0.77,0.77,1.53,1.53,3.06,42.89,0.77,6.13,3.06,27.57,2.3,1.53,0,12.26,0.77,0,0,13.02,0,1.53,0,7.66,2.3,11.49,1.53
120,0,1.96,0,3.92,52.91,7.84,3.92,0,70.55,0,0,3.92,0,0,0,0,1.96,0,33.32,0,1.96,1.96,5.88,1.96,1.96,0,7.84,1.96,0,0,5.88,0,1.96,0,9.8,0,5.88,0
