stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,lateral.line,mesenchyme,neural,notochord,periderm,pronephros,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,1,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0.82,4.1,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,4.83,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,0,0,0.57,0.57,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0.98,0,0.98,0,0.98
 72-82,0,0,0,0,1.96,0,0,0,3.93,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0
108-118,0,0.77,0.77,1.53,0,0.77,0.77,0,1.53,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0
