stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,hatching_gland,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,2068.94,36252.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660.42,0,0,0,0,0,0,0
  5-6,2733.82,35533.49,55.17,0,0,0,0,0,116.46,0,0,0,0,0,1133.98,98.07,0,0,306.48,937.83,0,0,0,0,0,0,0
  7-9,502.08,554.66,743.93,0,5.26,0,1056.74,0,431.11,0,0,0,0,0,18132.86,488.94,0,0,5273.2,76.23,49.95,0,0,0,0,0,0
 10-12,0,103.85,88.12,0,3.15,0,94.41,0,3.15,0,0,0,0,0,3298.02,81.82,0,0,1060.53,3.15,18.88,0,59.79,0,0,3.15,0
 14-21,0,0,0,40,1,0,0,19,0,0,0,5,0,3,62,10,0,3,49,0,0,7,1,0,1,355,0
 24-34,0,0,0,0,0,0,2.46,11.49,0,0,0.82,1.64,0,0.82,48.43,1.64,0,0,0,0.82,0,0,0,0,3.28,109.17,0
 36-46,0,0,0,0.81,0,0,0.81,0.81,0,0,0.81,0.81,0,0,12.09,0,0,0,0,0.81,0,0,0,0,0,27.39,2.42
 48-58,0,0,0,0,0,0,1.72,1.72,0,0,0,1.72,0,0,5.16,0,0,0,0,1.15,0,0,1.15,0,0,13.77,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,1.96,0,0,1.96,0,0,0.98,0,0,0,0,0,0,0,3.93,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,1.96,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,2.12,0,0,0,0,1.06,0,0,0,0,0,3.19,0
 96-106,0,0,0,1.09,0,0,0,0,0,1.09,0,4.37,0,0,0,0,0,0,0,0,0,0,0,1.09,0,2.19,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
