stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,3.28,0,0
 36-46,0,0,0,0,0,0,8.86,0,1.61,0,0,0,0.81,0,0,0,0,4.83,0,0
 48-58,0,0,1.15,0,2.3,0,10.33,0,1.72,0,0,0,2.87,0,0,0,0,2.3,0,0
 60-70,0,4.91,0,0,2.94,0.98,34.35,0,3.93,0,0,0.98,3.93,0,0,0,0,0.98,0,0
 72-82,0,20.61,1.96,0,1.96,0.98,76.57,0,1.96,3.93,0.98,0,3.93,0.98,0,0,0,3.93,0,0
 84-94,0,8.5,5.31,0,1.06,1.06,150.81,0,6.37,1.06,0,0,5.31,0,0,0,0,7.43,0,1.06
 96-106,0,16.39,9.84,3.28,0,0,151.91,1.09,4.37,2.19,0,0,19.67,0,0,0,1.09,15.3,1.09,1.09
108-118,0,7.66,10.72,0.77,1.53,0.77,156.26,0,9.19,1.53,0,0,18.38,0,0,0,0,13.02,0,0
120,0,5.88,0,0,1.96,0,109.75,0,3.92,1.96,0,0,5.88,0,0,1.96,0,7.84,0,0
