stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,heart,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,3.28,2.46,0,0.82,0.82,0,0,0.82,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,12.89,1.61,0.81,0.81,0.81,0,0,0
 48-58,0,0,0,0.57,0.57,0,0.57,0,0,18.94,1.72,0,1.72,0,1.72,0,0.57
 60-70,0,0,0,1.96,0,6.87,0,0,0,12.76,0,0,2.94,0,0.98,0,0
 72-82,0,0,0,0.98,0.98,13.74,0,0,0,11.78,0.98,0,1.96,0,0,0.98,0
 84-94,0,0,0,2.12,0,5.31,0,0,0,32.92,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,4.37,0,0,0,27.32,1.09,0,1.09,0,0,0,0
108-118,0,0,0.77,1.53,0,9.19,0,0.77,0,32.17,0.77,0,0.77,0,0,0,0
120,0,1.96,0,0,0,13.72,0,0,0,9.8,0,0,0,0,0,0,0
