stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,0,2,2,0,0,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,19,0,0,0,0,2,1,0,1,9,0,0
 24-34,0.82,0,0.82,0,0,4.1,0,0.82,0,0.82,0,0.82,0,0,0.82,0,1.64,0,0,0,43.51,0,0,0.82,0,0.82,0,0,0,12.31,0,0.82
 36-46,0,0,0,0,0,7.25,0,0.81,0,1.61,0,0,0,0.81,0,0.81,1.61,0,0,0.81,30.62,0,0.81,0.81,0,1.61,0,0,0,7.25,0,0
 48-58,0,0,0.57,0,0,8.03,0.57,0,0,3.44,0,0,0,0,0,0,0.57,1.15,0.57,0,8.03,0,0,0.57,0,1.15,0,0,0,1.72,0,0.57
 60-70,0,0,0,0,0,13.74,0,0,0,4.91,0,0,0,0,0,0,0,0.98,0,0,19.63,0.98,1.96,0.98,0,1.96,0,0,0,2.94,0,0
 72-82,0,0,0,0.98,0,6.87,0,0,0.98,5.89,0,0,0,0,0,0,2.94,0,0,0,9.82,0,0.98,0.98,0,1.96,0.98,0,0,1.96,0,0
 84-94,0,0,1.06,0,0,12.74,0,0,1.06,1.06,0,0,0,1.06,0,0,3.19,0,0,0,5.31,0,0,0,0,2.12,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,14.21,0,0,0,2.19,0,0,0,1.09,0,2.19,4.37,1.09,0,1.09,8.74,0,0,0,0,4.37,1.09,0,0,0,0,1.09
108-118,0,0,6.89,0,1.53,7.66,1.53,0,0,3.06,2.3,0,0.77,0,0,0.77,3.83,0.77,0,0.77,13.02,0,0,2.3,0.77,5.36,0.77,0.77,0,0.77,0.77,0
120,0,0,7.84,1.96,0,19.6,1.96,3.92,1.96,11.76,1.96,0,1.96,0,0,0,9.8,1.96,1.96,1.96,5.88,1.96,1.96,0,0,5.88,0,0,0,0,0,0
