stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,1,13,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,45,0,0,0,0,7,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,1.64,10.67,0,0,0,0,0.82,0,0,0,10.67,0,1.64,7.39,0,0,106.71,0.82,0,0,0,28.73,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,0.81,1.61,0,4.03,2.42,11.28,0,0,0.81,0.81,4.83,1.61,0,0,16.92,0,1.61,11.28,0,0,50.76,0,0,0,0,38.67,0
 48-58,0,0,0,1.72,0,0,3.44,0,0,0.57,2.3,0,0.57,2.3,5.74,0,0,0,4.02,16.07,1.15,0,0.57,12.62,0,1.15,8.03,0,0,39.02,0,2.3,0,0,35,0
 60-70,0,0,0,6.87,1.96,0,3.93,2.94,0.98,0.98,17.67,0,0,3.93,10.8,0.98,0,0.98,13.74,64.78,0,0,0.98,14.72,0.98,2.94,8.83,0.98,0.98,39.26,0,1.96,0,0,38.28,0
 72-82,0,6.87,0,27.49,2.94,0.98,8.83,0.98,1.96,2.94,60.86,0,2.94,9.82,16.69,2.94,3.93,0,9.82,118.78,0,0.98,0,23.56,0,7.85,13.74,0,0,53.01,0,0.98,0,0.98,67.73,0
 84-94,0,4.25,0,46.73,0,0,25.49,3.19,0,2.12,91.34,0,0,13.81,24.43,3.19,4.25,1.06,16.99,71.16,1.06,0,1.06,14.87,0,16.99,27.61,0,2.12,127.44,0,1.06,1.06,1.06,46.73,1.06
 96-106,0,2.19,2.19,54.64,5.46,0,7.65,2.19,0,1.09,133.33,0,2.19,15.3,38.25,0,7.65,0,18.58,81.96,3.28,3.28,0,19.67,0,20.76,34.97,1.09,5.46,119.12,0,1.09,0,2.19,46.99,0
108-118,0,0.77,1.53,62.04,1.53,0,6.89,5.36,0,0.77,111.06,0,0,14.55,41.36,0.77,6.89,0.77,19.92,61.28,1.53,0,1.53,13.79,0,15.32,39.83,0,1.53,94.98,0,0,0,2.3,42.89,0
120,0,3.92,1.96,60.75,3.92,0,9.8,3.92,0,1.96,84.27,0,1.96,35.28,23.52,0,7.84,1.96,11.76,39.2,0,0,0,21.56,0,17.64,29.4,0,1.96,68.59,0,0,0,1.96,60.75,0
