stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
 14-21,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0.82,36.12,2.46,0,0,1.64,0.82
 36-46,0,0,0.81,0,0,0,0,1.61,0,141.8,2.42,0,0,9.67,0
 48-58,0,0,4.59,0,2.87,0,0,4.02,0.57,160.09,0,0.57,0,10.33,0.57
 60-70,0,0,4.91,0,4.91,0,0,1.96,0,141.34,0,0,0,11.78,0
 72-82,0,0,19.63,0,15.71,0.98,0.98,4.91,0,144.3,0,0,0,5.89,0
 84-94,0,0,13.81,0,15.93,0,0,1.06,0,49.92,1.06,0,0,3.19,0
 96-106,0,0,7.65,0,6.56,1.09,1.09,0,0,77.59,3.28,1.09,1.09,2.19,0
108-118,0.77,0,15.32,0.77,17.62,0,0,3.83,0.77,85.02,2.3,0,0,0.77,0
120,1.96,0,7.84,0,13.72,0,0,1.96,0,64.67,0,0,0,3.92,0
