stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,3.28,29.55,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0.81,0,0,0.81,0,0.81,0,0,0,1.61,0,0,4.83,27.39,0,0,0,0.81,0,0,0
 48-58,0.57,0,0,0,1.72,0.57,0,0,0,0,0,0,0,0,13.2,0,0,1.15,9.75,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0.98,0,0,0.98,1.96,0,0,0,0,0,31.41,0,0,4.91,6.87,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,10.8,0.98,0,0.98,0,0,0.98,0,1.96,0,77.55,0,3.93,5.89,3.93,0.98,0.98,0.98,0,1.96,0.98,0.98
 84-94,0,0,2.12,0,5.31,0,0,0,0,1.06,0,1.06,3.19,1.06,89.21,0,0,4.25,2.12,0,0,1.06,0,1.06,0,0
 96-106,0,0,5.46,0,13.11,0,0,2.19,3.28,0,0,0,3.28,0,77.59,1.09,1.09,5.46,2.19,1.09,0,0,1.09,1.09,1.09,1.09
108-118,0,0,2.3,0.77,6.89,0,0.77,0.77,0,0,0,0,3.83,0,61.28,0,0.77,6.89,8.43,0,0.77,0,0,0,0,0
120,0,0,3.92,1.96,7.84,0,0,0,1.96,0,0,0,5.88,0,92.11,0,0,3.92,13.72,0,0,0,0,0,0,1.96
