stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,98.07,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,5.26,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,0,0,0,34.62,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,2,113,1,1,1,1,0,0,6,0,4,83,0,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,0,12.31,0,0,0,5.75,0,0,0,0,0,0,0,0,0,4.1,0,0,6.57,380.06,1.64,5.75,0,0,0,1.64,0,0,0,142.01,0,0,1.64,0,0
 36-46,0,0,0.81,0,1.61,0,0,17.72,0,0,1.61,3.22,0,0,0,0,0,0,0,0,0,7.25,0,0,2.42,484.21,0,0.81,0.81,0,0,0,0,0,0,161.94,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0.57,0,55.09,0,0,1.15,15.49,0,0,0.57,0,0.57,0,0.57,0,0,9.18,0,0,1.72,499.21,0.57,1.15,0.57,0,0,1.15,0,0,0,99.84,0,0,0,0,0.57
 60-70,0,0,0.98,0,2.94,0.98,0,138.39,0.98,0,1.96,38.28,0,0,0,0,0,0,0,0,0,8.83,0,0,0,682.16,0,0.98,0.98,0,0,2.94,0,0,0,106,0,0,0,0,1.96
 72-82,0,0,0.98,0,8.83,2.94,0,332.78,0,0,1.96,61.84,0.98,0,0,0.98,0,0.98,0.98,0,0,14.72,0,0,0.98,863.86,0.98,7.85,2.94,0,1.96,0.98,0,0,0,58.9,0.98,0,1.96,0,1.96
 84-94,0,0,2.12,0,3.19,2.12,0,245.33,0,0,0,56.29,1.06,0,0,2.12,0,1.06,0,0,0,15.93,1.06,3.19,1.06,492.79,0,2.12,4.25,0,0,1.06,0,1.06,0,40.36,1.06,1.06,0,2.12,0
 96-106,0,0,1.09,0,5.46,5.46,0,314.74,1.09,0,1.09,62.29,2.19,0,1.09,1.09,0,1.09,3.28,3.28,1.09,16.39,0,4.37,2.19,484.13,0,9.84,12.02,0,0,5.46,0,0,0,17.49,1.09,0,2.19,1.09,0
108-118,0,0,0.77,0,8.43,3.06,0.77,242.04,0.77,0.77,1.53,76.6,0.77,0,0,2.3,0,2.3,4.6,0.77,0.77,19.15,0.77,0.77,0.77,499.41,0,5.36,6.13,0,0,0.77,0,0,0,20.68,2.3,0,2.3,0.77,0.77
120,0,0,0,0,9.8,3.92,1.96,280.25,1.96,0,0,109.75,0,0,0,5.88,0,0,0,0,0,27.44,0,1.96,0,705.52,0,0,11.76,0,1.96,3.92,0,0,0,33.32,0,0,1.96,0,0
