stage,epidermis,eye,fin_epithelia,glial,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,1,0,2,1,0,0,0,1,4,1,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,4.93,0,1.64,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,16.11,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0.57,0,0.57,12.05,1.15,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,15.7,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0.98,2.94,2.94,0.98,0.98,27.49,0.98,0,0,0.98,0,0,3.93
 84-94,0,2.12,0,0,1.06,0,14.87,1.06,1.06,0,6.37,0,0,0,0,0,0,0
 96-106,1.09,2.19,1.09,1.09,0,0,13.11,2.19,1.09,0,6.56,0,2.19,0,0,0,0,3.28
108-118,0,0,0,0,0,0,22.98,1.53,0.77,0,10.72,0,0.77,0,1.53,0,0,0.77
120,0,0,0,1.96,0,0,15.68,0,0,0,5.88,0,0,0,0,0,0,0
