stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,97.68,0.82,0,0,0,0,0,0,0,0,1.64,0,0,0.82,9.03,0,0,0,0.82,1.64,0,0.82,0
 36-46,0,0,0,90.23,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,9.67,0.81,0,0,0,4.03,0,0,0
 48-58,0,0,0,197.96,2.87,0,0,0,0,0,0,0,0,1.72,0,0.57,0,8.03,0,0,0,1.15,2.87,0,0,0
 60-70,0,0,0.98,283.66,9.82,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0,0,0,0.98,2.94,0,0,0
 72-82,0,0,0.98,300.39,6.87,1.96,0,0,0,0,0,0,0.98,4.91,0,0,0,7.85,0,0,0,2.94,0,0,0.98,0
 84-94,0,0,1.06,269.76,3.19,0,1.06,1.06,0,1.06,2.12,1.06,0,2.12,0,0,0,3.19,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,3.28,328.95,7.65,0,1.09,0,1.09,0,0,0,0,4.37,1.09,0,0,10.93,0,0,1.09,1.09,0,1.09,0,0
108-118,0,0,4.6,206.81,0.77,0.77,1.53,0.77,0,2.3,0,0.77,0,0.77,0,0,0,5.36,0,0.77,0,0,0,0,0.77,0.77
120,0,0,5.88,219.5,1.96,0,0,0,0,1.96,0,0,0,3.92,0,0,0,7.84,0,0,0,0,0,0,1.96,0
