stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,10.51,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,9.44,3.15,0,0,3.15,0,0
 14-21,0,0,0,16,1,1,0,1,0,0,0,7,1,0,0,0,1,0,0,0,15,0,2,14,2,17,0,13,0
 24-34,0,0,0,12.31,0.82,0,0,0,0,0,1.64,4.93,0,0.82,0,0,4.93,1.64,0,0,11.49,0,0,0.82,0,18.88,0,2.46,0
 36-46,0,0,0,1.61,0,0,0,0.81,0,0,1.61,3.22,0,0,0,0,2.42,0.81,0,0.81,5.64,0,0,0,0,8.06,0,0.81,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,3.44,0,0,0,0.57,5.16,0.57,0,0.57,6.89,0,0,0,0,5.16,0,1.72,0
 60-70,0,0,0,0,0,0,0,0.98,0,0.98,0,11.78,0,0,0,0,3.93,4.91,0,0,3.93,0,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,0,0,0,1.96,0.98,0.98,0,0,17.67,0,0,0,0,8.83,1.96,0,0,4.91,0,0,0.98,0,4.91,0,0.98,0
 84-94,0,0,1.06,0,1.06,0,8.5,3.19,0,0,1.06,44.61,0,0,0,0,15.93,3.19,0,0,5.31,0,0,2.12,0,16.99,0,0,0
 96-106,0,0,1.09,0,2.19,0,0,1.09,0,1.09,0,43.71,0,0,0,0,13.11,1.09,0,0,8.74,0,0,1.09,0,14.21,0,0,0
108-118,0,0,3.06,0,1.53,0,5.36,2.3,0,0,0.77,38.3,0,0,0.77,0,19.15,0.77,0,0,13.02,0,0,0,0,7.66,0,0,0.77
120,0,0,1.96,0,0,0,1.96,0,0,0,0,21.56,0,0,1.96,0,3.92,0,1.96,0,9.8,1.96,0,1.96,0,5.88,0,0,0
