stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,63.09,0,0,0,26.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,44.06,0,3.15,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,396.52,3.15,0,0,25.18,0,3.15,18.88,0,0,0,0,0,0
 14-21,0,2,5,136,6,1,0,1,0,1,1,0,1,0,16,2,0,0,11,1,0,1,39,0,2,11,1,0,15,10,0,27,0,0,3,0
 24-34,0,0.82,2.46,83.73,0,0.82,0,5.75,0,9.85,2.46,0,0.82,0.82,31.19,9.85,1.64,0.82,7.39,4.93,0,4.1,159.25,4.93,20.52,13.95,0,0,22.16,4.1,0,43.51,0,0,17.24,0
 36-46,0,0,0,30.62,0,4.83,0,6.45,0,12.09,2.42,0,0.81,0,4.03,5.64,1.61,0,9.67,0.81,0.81,4.03,133.74,4.83,24.98,8.06,0,0,20.14,2.42,0,41.09,0,0,15.31,0
 48-58,0,0.57,0,24.1,0,3.44,0,4.59,0,35.58,2.3,1.15,3.44,0,2.87,5.74,0.57,0,7.46,0.57,0,0.57,55.09,0,12.62,6.89,0,0.57,12.05,1.72,0,27.54,0,0,9.75,0
 60-70,0,0.98,0,47.11,0,7.85,0.98,11.78,0.98,24.54,5.89,1.96,1.96,1.96,4.91,10.8,2.94,0,17.67,1.96,0.98,1.96,50.06,0,21.59,9.82,0,0.98,26.5,0.98,0.98,12.76,1.96,1.96,5.89,0.98
 72-82,0,5.89,0,29.45,0.98,5.89,0.98,6.87,0.98,23.56,4.91,0,8.83,2.94,3.93,14.72,0.98,0,12.76,1.96,1.96,1.96,41.23,0,17.67,5.89,0,0,13.74,0,0,3.93,16.69,0.98,16.69,0
 84-94,0,2.12,0,66.91,1.06,3.19,0,7.43,2.12,19.12,11.68,1.06,3.19,4.25,15.93,9.56,1.06,0,10.62,3.19,3.19,0,20.18,2.12,23.36,12.74,0,0,63.72,1.06,0,6.37,29.74,1.06,9.56,0
 96-106,0,2.19,1.09,30.6,1.09,7.65,0,2.19,0,12.02,13.11,0,3.28,1.09,9.84,15.3,1.09,0,7.65,3.28,1.09,2.19,14.21,0,26.23,10.93,0,0,29.51,2.19,0,3.28,25.14,0,7.65,0
108-118,0,3.83,0.77,59.75,0,6.13,0,15.32,0,15.32,14.55,0,0,1.53,15.32,22.98,3.06,0,9.19,6.89,1.53,0,18.38,1.53,26.04,10.72,0,0,49.79,3.83,0,1.53,45.19,0,9.19,0
120,0,1.96,1.96,86.23,3.92,5.88,0,15.68,0,13.72,29.4,0,3.92,1.96,9.8,23.52,5.88,0,1.96,5.88,1.96,0,35.28,0,27.44,3.92,0,0,41.16,3.92,0,1.96,25.48,0,25.48,3.92
