stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,1,0,0,6,0,0,9,0,0,0,0,4,2,0,1,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,2.46,3.28,0.82,0,0,0,0,1.64,1.64,0,0,0
 36-46,0,0.81,0,0,0,0.81,7.25,0,0,0.81,0,0.81,0,1.61,4.83,0,0.81,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,2.87,5.74,0.57,0,0.57,0,0,0,1.15,4.02,0,0,0,0,0,1.15,0,0.57,0,0.57
 60-70,0,0,0,0,0,1.96,4.91,0,0.98,0,0,0.98,0,0.98,2.94,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,0,1.96,3.93,0,0,0,0,0.98,0,0.98,7.85,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,1.06,0,0,4.25,2.12,0,0,0,0,0,1.06,1.06,9.56,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,4.37,3.28,1.09,0,0,2.19,3.28,0,1.09,5.46,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,0,4.6,2.3,1.53,0,0,0,0,0,3.83,8.43,0,0,0.77,0,0,0.77,0,0,0.77,0
120,0,0,0,0,0,0,5.88,0,0,0,0,0,0,1.96,17.64,0,0,0,0,0,0,0,0,1.96,0
