stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,1,0,2,0,0,0,0,0,0,1,0,7,1,0,0,0,1,2,2,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,11.49,0,0,0.82,0,0,0,2.46,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,12.89,0.81,0,0,0,0,0,1.61,0
 48-58,0,0,1.15,0,0,2.87,0.57,1.72,0,0,0,0,1.15,0.57,8.61,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0.98,0,7.85,0,0,0,0,0,0,2.94,0
 72-82,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0.98,0,4.91,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,1.09,0,0,1.09,2.19,0,4.37,0,0,1.09,0,0,0,0,0
108-118,0,0,0.77,0,1.53,1.53,0,0.77,1.53,0,0.77,0,0,0,2.3,0,0,2.3,0.77,0,0,0,0
120,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0
