stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.43,0.82,0,0,0,0,0,0,17.24,0,0,0,0
 36-46,0,0,0,0,0.81,0,2.42,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,302.93,0,0,0,0,0,0,0,30.62,0,0,0,0
 48-58,0,0,0,0,1.72,0,19.51,0.57,0,1.72,6.89,0,0,0,0.57,0,0.57,10.33,0,0,0.57,448.14,1.15,1.15,0.57,0,2.3,0,0,57.38,0,0.57,0,0
 60-70,0,0,0.98,0,1.96,0,136.43,0,0,0,13.74,0.98,0.98,0.98,0,0,0,6.87,0,0,0.98,798.96,0.98,1.96,0,0,3.93,0.98,0,84.41,0,1.96,0,0
 72-82,0,0,0,0,2.94,5.89,308.24,0,0,0,27.49,0.98,1.96,0,0,0.98,0.98,18.65,0.98,0,0.98,936.51,0,0.98,0,0,0.98,0,0,51.05,0,0,0.98,1.96
 84-94,0,0,0,0,14.87,0,214.53,0,1.06,1.06,31.86,0,0,4.25,0,2.12,0,8.5,0,0,0,509.78,0,0,1.06,0,2.12,0,1.06,30.8,0,1.06,0,0
 96-106,0,0,0,0,7.65,0,191.25,0,1.09,2.19,33.88,1.09,0,0,0,0,0,13.11,0,1.09,1.09,466.65,0,1.09,1.09,0,2.19,0,1.09,22.95,0,0,0,0
108-118,0,0,0,0.77,10.72,1.53,163.15,0,0,0,32.94,0,0,2.3,0,0,0,10.72,0,0,0.77,631.92,0,0.77,0.77,0,0.77,0,0,16.85,3.06,0,0,2.3
120,0,0,0,0,9.8,0,137.18,0,0,0,33.32,1.96,1.96,3.92,1.96,0,0,13.72,0,1.96,0,785.87,0,3.92,0,0,5.88,0,0,23.52,0,1.96,0,0
