stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,lateral_line,liver,melanocytes,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,40.91,3.15,0,0,9.44,0,9.44,0,3.15,0
 14-21,0,0,0,0,1,3,0,0,39,1,0,0,0,0,2,22,3,2,4,1,1,44,2,133,0
 24-34,0,0,0,0.82,3.28,0,0,1.64,51.71,0,0,0,0,0,3.28,44.33,0,14.78,3.28,0,0,20.52,0.82,105.89,0
 36-46,0,0,0.81,0,0,0.81,0.81,0.81,43.51,0.81,0.81,0,0.81,0,0,44.31,0,25.78,1.61,0,0,13.7,0,94.26,0
 48-58,0,0,0,0,0.57,0,4.59,0,37.3,0,0,0,0,0,1.15,25.25,0,13.2,2.87,0,0,1.72,0,71.15,0
 60-70,0,0,0.98,0,0,0,0.98,0,45.15,0,0,1.96,0,0,2.94,29.45,0,17.67,4.91,0,0,0,0,50.06,0
 72-82,0,0,1.96,0,0,0,7.85,0.98,46.14,0,0,3.93,0,0,0.98,27.49,0,25.52,4.91,0,0,0.98,0,27.49,0
 84-94,0,0,1.06,1.06,0,1.06,6.37,0,25.49,1.06,0,4.25,0,0,0,9.56,0,14.87,12.74,0,0,4.25,0,14.87,0
 96-106,0,0,0,0,0,0,2.19,0,21.86,0,0,10.93,0,0,0,13.11,0,29.51,13.11,0,0,5.46,0,14.21,0
108-118,0,0,0.77,0.77,0.77,0.77,4.6,0,25.28,0,0,6.89,0,0.77,0.77,9.19,0,13.02,15.32,0,0,4.6,0,13.79,0
120,0,0,1.96,0,0,0,1.96,0,19.6,0,0,5.88,0,0,0,7.84,0,13.72,13.72,0,0,3.92,0,11.76,1.96
