stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,1,5,1,0,0,0,0,2,0,0,1,1,6,0,0,0,0,0,2,0,3,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0.82,0,0,0.82,0,9.03,0,2.46,0,0,0.82,0,1.64,1.64,0,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0.81,0,0,9.67,0,0.81,0,0,0,0,0,5.64,0,0.81,0
 48-58,0,0,0,0,4.02,0,1.72,0,0,0,0,1.15,0,9.18,0,0.57,0,0,0.57,0.57,0,2.87,0,0,0
 60-70,0,0,0,0,1.96,0,0.98,0,0,0,0,1.96,0,6.87,0,0,0,0,0.98,0,0,1.96,0,0,0
 72-82,0,0,0.98,0,0.98,0.98,0,0,0,0.98,0,0.98,0,6.87,0,0,0.98,0,0,0,0,0.98,0.98,0.98,0.98
 84-94,0,0,0,0,2.12,0,1.06,0,0,0,0,1.06,1.06,0,0,2.12,0,0,3.19,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,1.09,0,1.09,0,0,0,2.19,1.09,0,1.09,0,0,1.09,1.09,0,0
108-118,0,0,0.77,0,0.77,0,0.77,0.77,0,0,0,0,0,0.77,0,0.77,0,0,1.53,0,0,0.77,0.77,0.77,0
120,0,0,0,0,0,0,3.92,0,0,0,0,0,0,1.96,1.96,1.96,0,0,3.92,1.96,0,0,0,0,0
