stage,axial,epidermis,eye,fin_epithelia,gut,immune,mesenchyme,neural,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
 24-34,0,0,0.82,0,0,0.82,0,7.39,0,0,0,0.82,2.46,0,0
 36-46,0,0,1.61,0,0,0,0.81,4.03,0,0,0,0,2.42,0.81,0
 48-58,0,0,2.3,0.57,0,0,0,6.31,0,0,0,0,1.15,0.57,0
 60-70,0,0,2.94,0,0,0,2.94,11.78,0,0,0,0,1.96,0,0
 72-82,0,0.98,2.94,0,0,0,1.96,7.85,0,0,0,0,0.98,0.98,0.98
 84-94,0,0,3.19,0,1.06,1.06,1.06,2.12,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,1.09,0,1.09,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0
