stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,2,1,1,1,0,0,1,0,0
 24-34,0,1.64,0,5.75,0,0,0,0,0,0,0,0,0.82,1.64,0,2.46,61.56,0,0.82,0,0,0,2.46,0,0.82,18.06,0,0,2.46,0,0.82
 36-46,0,1.61,0,15.31,0,0,3.22,0,0,0,0,0,0,4.03,0,2.42,77.34,0,1.61,0.81,0,0,0,0,0,20.95,0,0.81,0.81,0,0
 48-58,0,0.57,0,30.41,0,0,4.59,0,0,0,0,0,0,6.31,0.57,1.15,51.07,0.57,0.57,0.57,0,0,0,0,0,8.03,0,0,1.15,0,0.57
 60-70,0,0.98,0,18.65,0,0,4.91,0,0,0.98,0,0.98,0,7.85,0,1.96,78.52,0,0,0.98,0,0,1.96,0,0,8.83,0,0,0,0,0
 72-82,0,1.96,2.94,25.52,0,0.98,3.93,0,0,0.98,0,0,0,12.76,0,1.96,51.05,0,0.98,0,0,0,0,0,0,4.91,1.96,0,0,0.98,0
 84-94,0,2.12,0,9.56,1.06,0,7.43,0,0,1.06,0,0,1.06,7.43,0,0,35.05,0,1.06,0,0,1.06,7.43,0,0,1.06,1.06,0,1.06,0,0
 96-106,0,3.28,0,4.37,0,0,0,1.09,0,2.19,1.09,0,1.09,4.37,0,2.19,22.95,0,0,1.09,0,0,2.19,0,0,1.09,0,0,2.19,0,0
108-118,0,0.77,0,7.66,0.77,0.77,2.3,0,0.77,3.06,0,0,0,3.83,0,0,16.09,0,0,0.77,0,0,3.06,0,0,0.77,0,0,1.53,0.77,0.77
120,0,0,1.96,9.8,0,0,0,0,0,0,0,0,0,3.92,0,1.96,15.68,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0
